S,call,delta,gamma,Vega,theta,rho
1,1.8519536306756332e-06,1.7531218045087349e-06,-1.0486186249337507e-07,-3.932922803084505e-09,5.3545302745403186e-06,-2.471636450144225e-08
2,3.5639294063069597e-06,1.6792261949100606e-06,-5.468033097318759e-08,-8.203377069638021e-09,1.111809644390306e-05,-5.1554436061484374e-08
3,5.218918399219242e-06,1.6334152438149353e-06,-3.736029238730096e-08,-1.2611228331395883e-08,1.7047391703297037e-05,-7.925585190342191e-08
4,6.835888034022206e-06,1.6021015368977752e-06,-2.851269539719812e-08,-1.7110784360577225e-08,2.3084371531824875e-05,-1.0753502233300042e-07
5,8.424067187344454e-06,1.5756926166133386e-06,-2.3121127222140237e-08,-2.1679497898220625e-08,2.9206173917317117e-05,-1.3624895008339417e-07
6,9.988982578654698e-06,1.5521829630524113e-06,-1.9481249685665168e-08,-2.6304546385928795e-08,3.539669947395189e-05,-1.6531314027233435e-07
7,1.1534333217151986e-05,1.5368634404650753e-06,-1.6855219341560188e-08,-3.0976929175371244e-08,4.164731659718349e-05,-1.946786701402601e-07
8,1.306277588137566e-05,1.5219202546162044e-06,-1.4868034934326828e-08,-3.56896027132531e-08,4.794213596536097e-05,-2.2429478428712577e-07
9,1.4576314807925803e-05,1.5071280100385342e-06,-1.3310767080026119e-08,-4.043845357041328e-08,5.427275772215299e-05,-2.5414112613951663e-07
10,1.6076517767209044e-05,1.496101250427883e-06,-1.2055535877301266e-08,-4.521925433246697e-08,6.0633979052384344e-05,-2.841904939119579e-07
11,1.756464580702245e-05,1.4852136583304656e-06,-1.1021614258191134e-08,-5.002910925634772e-08,6.704469336475671e-05,-3.144159239199364e-07
12,1.9041735986999944e-05,1.4613356301407775e-06,-1.015844804379707e-08,-5.4866093917080696e-08,7.34971989274939e-05,-3.448193821269226e-07
13,2.0508656684767203e-05,1.4645513060217337e-06,-9.420138449942484e-09,-5.972698347388844e-08,7.9951539502408e-05,-3.753594284624118e-07
14,2.1966146002722464e-05,1.4527616238354905e-06,-8.790574300106876e-09,-6.461144126505575e-08,8.64584730306435e-05,-4.0605483080482277e-07
15,2.3414839285346574e-05,1.4430510687215778e-06,-8.239964903434226e-09,-6.951634934536312e-08,9.299597597794539e-05,-4.368879844213798e-07
16,2.4855289366228436e-05,1.4234121016197185e-06,-7.753307781769355e-09,-7.444083215379363e-08,9.953074029832223e-05,-4.6782573288498903e-07
17,2.628798179898453e-05,1.4293008440756198e-06,-7.322410906784871e-09,-7.938778644138293e-08,0.00010607303846854512,-4.989169184870814e-07
18,2.7713346542186386e-05,1.4107553965086658e-06,-6.939660502605811e-09,-8.434982872357376e-08,0.00011266616539186685,-5.300909921922932e-07
19,2.9131767073210065e-05,1.4085195683410934e-06,-6.595796093545117e-09,-8.93280858760585e-08,0.0001192788757169291,-5.613639898589752e-07
20,3.054358760606679e-05,1.4023643493199858e-06,-6.2877668024520494e-09,-9.432277146972446e-08,0.00012591376034811093,-5.927638940675731e-07
21,3.194911888063863e-05,1.4165250461321832e-06,-6.00690727898829e-09,-9.933165933257966e-08,0.0001325440740506962,-6.242485430755108e-07
22,3.3348642864355255e-05,1.4140693282115036e-06,-5.750772105153797e-09,-1.0435612579151946e-07,0.0001392184829332628,-6.558297714577207e-07
23,3.4742416604596355e-05,1.379979301403128e-06,-5.5151839177406195e-09,-1.0939369456266319e-07,0.00014587633130527106,-6.874985234155572e-07
24,3.613067542527848e-05,1.3834470542891872e-06,-5.2972952630306325e-09,-1.1444347998836122e-07,0.0001525650462355036,-7.192027748630265e-07
25,3.751363559201839e-05,1.3777658349053631e-06,-5.099003223775142e-09,-1.1951065330640049e-07,0.00015927762038979443,-7.510552350534085e-07
26,3.8891496559332834e-05,1.364469789325723e-06,-4.916323356990264e-09,-1.2458672975386702e-07,0.00016599790728728976,-7.829506886033142e-07
27,4.026444287416928e-05,1.3655838070579518e-06,-4.745755993588487e-09,-1.2967531653915133e-07,0.00017272850291456636,-8.149189019445758e-07
28,4.163264580336725e-05,1.3609691715613104e-06,-4.586583052918446e-09,-1.3477206340268026e-07,0.0001794728360609947,-8.469788442106405e-07
29,4.299626473130088e-05,1.3446109324707564e-06,-4.4330192321877585e-09,-1.3988340803202217e-07,0.00018618573547593727,-8.79051088444418e-07
30,4.435544836436865e-05,1.3531845999628644e-06,-4.296118108070186e-09,-1.450047753311784e-07,0.0001929961412580096,-9.112653187782646e-07
31,4.571033578097857e-05,1.3530402655486523e-06,-4.172701341897088e-09,-1.5013469546081622e-07,0.00019976984476366422,-9.435021882699123e-07
32,4.706105734433728e-05,1.354224078795735e-06,-4.037645597639722e-09,-1.5527641743603342e-07,0.0002065662799231177,-9.758561783624296e-07
33,4.8407735507294324e-05,1.3459021494955509e-06,-3.9162645565707366e-09,-1.6042621088984896e-07,0.0002133874809706962,-1.0081771629691242e-06
34,4.975048551463282e-05,1.3363015392581917e-06,-3.817951475262003e-09,-1.655911822592837e-07,0.00022025974997347784,-1.0406278794808333e-06
35,5.108941602956225e-05,1.3360399754840796e-06,-3.7216508087106748e-09,-1.7076075342419787e-07,0.00022710731136400125,-1.0731134378457949e-06
36,5.242462968778362e-05,1.3353914870596617e-06,-3.608398708955171e-09,-1.759365619364477e-07,0.00023391729972823717,-1.105664064265325e-06
37,5.375622360213088e-05,1.3445140319015905e-06,-3.532535388880466e-09,-1.811235755426249e-07,0.00024081602936266468,-1.1382842060012098e-06
38,5.508428982016414e-05,1.3111351739557298e-06,-3.437290735245138e-09,-1.863082887089613e-07,0.00024763998496138764,-1.1709248893025052e-06
39,5.640891580972095e-05,1.3150206834913747e-06,-3.3484514125195833e-09,-1.9148306624658905e-07,0.0002545286626864235,-1.203613112836185e-06
40,5.773018506444114e-05,1.2786772102301239e-06,-3.2775775908426563e-09,-1.966015416736194e-07,0.00026135456781617786,-1.236373971816784e-06
41,5.9048178165650725e-05,1.2991862495754028e-06,-3.188364150604958e-09,-2.0153618032238418e-07,0.00026817322708728823,-1.2691595123210265e-06
42,6.03629751056331e-05,1.3376076640628579e-06,-3.109078410847531e-09,-2.0593483275127772e-07,0.0002751432233633923,-1.3019436718227516e-06
43,6.167466081932934e-05,1.2784254720382e-06,-2.9969099034007907e-09,-2.0884621987251727e-07,0.000282055056936327,-1.3344559777941215e-06
44,6.298333846517077e-05,1.2811685035345882e-06,-2.86610484152329e-09,-2.079647870876838e-07,0.00028893733515803974,-1.3664514987999762e-06
45,6.428916031901745e-05,1.2995436974791441e-06,-2.6131314722743076e-09,-1.9776517473342817e-07,0.00029587035946243567,-1.3969987987868125e-06
46,6.559239703694341e-05,1.2908450079240213e-06,-2.08196700439596e-09,-1.656451952464005e-07,0.0003027925729159192,-1.4240686361795087e-06
47,6.689358677494288e-05,1.3103538707651824e-06,-1.020806703055932e-09,-8.417103921135299e-08,0.0003096199308765847,-1.4429201120069212e-06
48,6.819384378379151e-05,1.2994589941844187e-06,1.1799544360254627e-09,1.0428198974103079e-07,0.0003165054617048149,-1.4434458362193486e-06
49,6.949547320063304e-05,1.3612612285215236e-06,5.69485336166832e-09,5.1610057949568e-07,0.00032301371321631633,-1.404861523065983e-06
50,7.080315209326453e-05,1.3029108228510694e-06,1.4610600733823767e-08,1.3781428576049902e-06,0.000329328368232646,-1.2852130099635754e-06
51,7.212612090588127e-05,1.360770627038474e-06,3.1820352423958184e-08,3.117889085137832e-06,0.00033480685671799515,-1.0033191142591776e-06
52,7.348211741600517e-05,1.3211809847101658e-06,6.394282171351233e-08,6.514991393930165e-06,0.00033921312346486474,-4.073640791281852e-07
53,7.490421918162702e-05,1.4756018672582027e-06,1.2237777617988242e-07,1.2948235983100396e-05,0.0003411666565575344,7.793871030872291e-07
54,7.645239126932016e-05,1.7034483090587471e-06,2.2573846410840412e-07,2.4784868211938566e-05,0.0003390939804881303,3.0454908661939595e-06
55,7.823242073520325e-05,1.966449328675776e-06,4.0368821837850205e-07,4.5976094522148336e-05,0.00033004297808180566,7.229952003566779e-06
56,8.042611724859929e-05,2.4701249346729265e-06,7.026175657726032e-07,8.294109967388818e-05,0.00030969647148420404,1.4736688516752076e-05
57,8.333822444209796e-05,3.4147353998245644e-06,1.192717827172389e-06,0.0001458418359291517,0.0002706098623721058,2.785505134655832e-05
58,8.746745912022377e-05,4.986531749583828e-06,1.977944771944934e-06,0.0002503704159659726,0.0002021426605204775,5.02288523877251e-05
59,9.361148986342148e-05,7.574632110776691e-06,3.208478244236734e-06,0.00042018686357607146,8.914504334364692e-05,8.752380943006305e-05
60,0.00010301845985187848,1.151127058799696e-05,5.096578929014977e-06,0.0006901548043000976,-9.172545400093143e-05,0.0001483557274709166
61,0.00011760077852018078,1.8053572823978e-05,7.935378801949373e-06,0.0011105220849017537,-0.000371332092407705,0.0002455470390635517
62,0.0001402302215900441,2.805706242423739e-05,1.2121611071662375e-05,0.0017521792492433978,-0.0007926754928442789,0.0003977925993283088
63,0.0001751366938018227,4.290723185822534e-05,1.8180737294880116e-05,0.0027130969972399377,-0.0014139039928012104,0.000631813642639552
