S,call,delta,gamma,Vega,theta,rho
1,7.565486234705886e-07,6.051047203485072e-07,-1.5970341328670194e-07,-5.989791069817907e-09,7.092679903497563e-06,-3.784490957516676e-08
2,1.2991920514886218e-06,4.922406929729528e-07,-8.294887895739217e-08,-1.2444381133522073e-08,1.457766487410932e-05,-7.86286329527656e-08
3,1.7553548823040912e-06,4.2423427052247714e-07,-5.6543721686703904e-08,-1.9086682388366435e-08,2.2217362350124943e-05,-1.2059905811332192e-07
4,2.153967690328568e-06,3.746351339773465e-07,-4.3082453921782166e-08,-2.5853810589009758e-08,2.9957860812621973e-05,-1.6335927382984827e-07
5,2.5090752052918956e-06,3.3641986613342943e-07,-3.489050614722232e-08,-3.2715344781144255e-08,3.7769761293836345e-05,-2.0671774529595452e-07
6,2.829075009239764e-06,3.047158464341746e-07,-2.9367874289952316e-08,-3.965291163641544e-08,4.564671640414704e-05,-2.505532246580323e-07
7,3.1195807851631113e-06,2.7935805168563315e-07,-2.53865327002638e-08,-4.6654682907226974e-08,5.357582642469044e-05,-2.9479886375824687e-07
8,3.384620520321716e-06,2.537572855361718e-07,-2.237559173844339e-08,-5.3711384163024e-08,6.154385786327006e-05,-3.393903691113083e-07
9,3.627230319826459e-06,2.303152675560828e-07,-2.0018206524825843e-08,-6.081695418003156e-08,6.954559553802966e-05,-3.8429114084708235e-07
10,3.849783375556367e-06,2.1069089059673994e-07,-1.8122249831824906e-08,-6.796603325986712e-08,7.758888280465421e-05,-4.2946412887624725e-07
11,4.0541873465021e-06,1.939794811188283e-07,-1.655983812431244e-08,-7.515423904676157e-08,8.565281027367593e-05,-4.748886517247255e-07
12,4.242010140700953e-06,1.8028998873518848e-07,-1.5252676627551835e-08,-8.237833944721787e-08,9.376037798128302e-05,-5.205350210147708e-07
13,4.414563947944776e-06,1.5975244673123445e-07,-1.4142627439498443e-08,-8.963576715943002e-08,0.00010190340901021586,-5.663988187072335e-07
14,4.57296356146933e-06,1.4923509273506198e-07,-1.3183222603716438e-08,-9.692357530495256e-08,0.00011003096178258706,-6.124537144864867e-07
15,4.718168149070127e-06,1.380905108414477e-07,-1.2352025343986871e-08,-1.0424059922618849e-07,0.00011820700719118856,-6.586858142169866e-07
16,4.851011966923799e-06,1.200337165817647e-07,-1.1620101218119444e-08,-1.1158369140376297e-07,0.00012639575013188918,-7.050890163816012e-07
17,4.972227460579401e-06,1.1478982030860806e-07,-1.0971874730170161e-08,-1.1895171456041903e-07,0.00013462269451262085,-7.51658155519308e-07
18,5.082462976513222e-06,9.899684865540426e-08,-1.0394730603409418e-08,-1.2634352170766698e-07,0.00014283319933909903,-7.983685908063969e-07
19,5.1822965755012e-06,9.800848826090058e-08,-9.878947948921348e-09,-1.3376093234004015e-07,0.00015110755528791042,-8.45224634995822e-07
20,5.272246965129431e-06,7.393420253733358e-08,-9.409534766348327e-09,-1.41198726434889e-07,0.00015943855470159697,-8.922169999478002e-07
21,5.3527822669602055e-06,7.065152635024954e-08,-8.986173172695583e-09,-1.4865529130077428e-07,0.00016772479435325175,-9.393284725552389e-07
22,5.424327134112042e-06,7.381320388081831e-08,-8.596993212464459e-09,-1.5613126166607016e-07,0.0001759792861089006,-9.865831224875322e-07
23,5.487268585711587e-06,5.217955889146985e-08,-8.24282762915639e-09,-1.6362690327889352e-07,0.00018428203663498305,-1.0339434300814682e-06
24,5.5419608369585815e-06,6.176708246979391e-08,-7.917560497608693e-09,-1.7113840735395307e-07,0.00019262785277249944,-1.0813952883844752e-06
25,5.588729336324896e-06,5.0130543840414335e-08,-7.62394407350655e-09,-1.786703220219536e-07,0.00020100092219509373,-1.1290033642116147e-06
26,5.627874159928396e-06,4.77227256329019e-08,-7.34437391206543e-09,-1.8621622997070433e-07,0.0002092954708164446,-1.1767024976052433e-06
27,5.6596728940721845e-06,2.1780689908991804e-08,-7.089188550156011e-09,-1.9378085230774332e-07,0.00021769511547424254,-1.2244670258811032e-06
28,5.684383090753294e-06,2.7720508451612585e-08,-6.850456896420631e-09,-2.0135760884491436e-07,0.0002260509543832172,-1.2723417214643686e-06
29,5.702244381635728e-06,2.2914147047360146e-08,-6.629598357850322e-09,-2.0895182736016337e-07,0.00023448448154475142,-1.3203597775857148e-06
30,5.713480298360109e-06,1.2442913995165672e-09,-6.413949673299019e-09,-2.1655559988189698e-07,0.00024278806775353962,-1.3684174420688177e-06
31,5.718299859394995e-06,1.2656196891284305e-08,-6.223270977931687e-09,-2.2417813046070247e-07,0.00025121718305926477,-1.416587776629927e-06
32,5.716898946988302e-06,1.101447763291602e-08,-6.038967975791304e-09,-2.3181398567668473e-07,0.00025963641035647357,-1.4648162180747345e-06
33,5.7094615212358205e-06,-2.1467668883333978e-08,-5.867130689773026e-09,-2.3946101262196657e-07,0.0002681048397647093,-1.5131280336501665e-06
34,5.696160683975882e-06,-2.2491265848443437e-08,-5.702882683436875e-09,-2.471206544712835e-07,0.0002764989266158238,-1.5615509564007624e-06
35,5.6771596218173576e-06,-2.9269901118730152e-08,-5.550422563577119e-09,-2.5479468560195897e-07,0.0002849334181243685,-1.6100471261560655e-06
36,5.652612440607184e-06,-5.404252315566096e-08,-5.404039811940289e-09,-2.624810665195922e-07,0.0002934194222804136,-1.6586169688042417e-06
37,5.622664909271209e-06,-3.609008335507969e-08,-5.25023915232722e-09,-2.7017019973949743e-07,0.00030180061635833467,-1.7072289448617418e-06
38,5.587455127283934e-06,-5.5641848415019166e-08,-5.1305285788148325e-09,-2.7788205585488085e-07,0.0003103219401789177,-1.7559550489103571e-06
39,5.547114113536327e-06,-3.520002113410487e-08,-5.008606266751893e-09,-2.8560114393333277e-07,0.00031881879186240183,-1.8047066697841568e-06
40,5.5017663491387645e-06,-3.05665815060344e-08,-4.9007548660087415e-09,-2.9333130815765133e-07,0.00032734924983217817,-1.8535364745094936e-06
41,5.451530252924431e-06,-5.480154937969554e-08,-4.7775216942269605e-09,-3.010692613327287e-07,0.00033582782389991327,-1.9024850070383656e-06
42,5.396518626799842e-06,-7.669447115419854e-08,-4.659665868759176e-09,-3.088181482081419e-07,0.0003442736491328087,-1.9514188817044373e-06
43,5.336839051449767e-06,-4.288752275679545e-08,-4.545686735214056e-09,-3.1657509066758025e-07,0.00035287563420689284,-2.0004760601848384e-06
44,5.272594267540801e-06,-7.620192149537016e-08,-4.4682258347678635e-09,-3.243405702577445e-07,0.00036144537646362,-2.049568478496922e-06
45,5.203882551869333e-06,-4.620967067922154e-08,-4.372562840030216e-09,-3.3209069155238827e-07,0.0003699012517424346,-2.0987427800345883e-06
46,5.130798161757734e-06,-8.812806068941598e-08,-4.282182493323063e-09,-3.3981162711981244e-07,0.00037837561563290535,-2.1479258334554786e-06
47,5.053431956840172e-06,-1.340976398797383e-07,-4.1946955857527415e-09,-3.474258825551826e-07,0.00038693754002963924,-2.1971939579104485e-06
48,4.971872503166889e-06,-4.466413201201398e-08,-4.10468037800849e-09,-3.547447875629526e-07,0.0003954273571044964,-2.2464912793370003e-06
49,4.886208278680153e-06,-8.560974703393422e-08,-3.999280155089421e-09,-3.6135538443493235e-07,0.0004039378549122773,-2.295693475067224e-06
50,4.796532277133226e-06,-6.081700796450613e-08,-3.912060164541439e-09,-3.663498867476092e-07,0.00041258461372443685,-2.3447335270072997e-06
51,4.702951608139076e-06,-5.1698867693903035e-08,-3.758541753247054e-09,-3.6765658888993216e-07,0.0004211398328389537,-2.3932546890626346e-06
52,4.605607180042965e-06,-8.422713515413103e-08,-3.5595072557319772e-09,-3.6105380301274366e-07,0.00042967672368515123,-2.4405138081525158e-06
53,4.504712862516322e-06,-1.0866035108909704e-07,-3.1992398249488076e-09,-3.378892565895008e-07,0.0004383121319170044,-2.4851737187217272e-06
54,4.4006312836159996e-06,-1.1417885544375353e-07,-2.5800611291388253e-09,-2.8118737763298116e-07,0.0004467933681245894,-2.5243000463945684e-06
55,4.2940162044710645e-06,-1.2463026792498225e-07,-1.402162569131291e-09,-1.5853364904984347e-07,0.00045530915675426873,-2.552201049732186e-06
56,4.18607249827335e-06,-9.31286891001212e-08,7.359029445525413e-10,9.01805083838419e-08,0.0004637896695957168,-2.5583764789170635e-06
57,4.07901788458091e-06,-5.2733730197210976e-08,4.643165074023599e-09,5.734399044553677e-07,0.00047222900037289573,-2.5228101336515564e-06
58,3.976881589741292e-06,-1.0521402813660347e-07,1.1671915807454601e-08,1.481970098645811e-06,0.00048053183111299827,-2.409987695381954e-06
59,3.88685102110876e-06,-1.3515122181118056e-07,2.3946824586828998e-08,3.142762994663088e-06,0.0004884236890056863,-2.1573959352703687e-06
60,3.821487633068366e-06,-4.619577933888657e-08,4.4985990420401715e-08,6.103101011073216e-06,0.0004961051733910228,-1.658104654732732e-06
61,3.8022883794416285e-06,1.3968505036465392e-08,8.027532989553964e-08,1.125807106735463e-05,0.0005030750655667777,-7.324024571888509e-07
62,3.865282088676519e-06,3.114739199796667e-08,1.3840901990368507e-07,2.003941722734191e-05,0.0005089563870823248,9.141634304876471e-07
63,4.069634602019669e-06,3.037411444459454e-07,2.3211399011410804e-07,3.468895828100046e-05,0.0005132492322212055,3.7539861595890774e-06
64,4.510606484961412e-06,6.100908115562551e-07,3.803174815582343e-07,5.8645564537919564e-05,0.0005153263017658037,8.530396660388117e-06
65,5.338675708780643e-06,1.076512595632093e-06,6.104445378005141e-07,9.708093964810883e-05,0.0005144038591693213,1.6390132647088867e-05
66,6.787215131033146e-06,1.95350522528572e-06,9.614836717968748e-07,0.0001576258333976972,0.0005091503322162576,2.9070488108448965e-05
67,9.21180675466179e-06,3.0776809154312284e-06,1.4879267144319935e-06,0.0002513337956091966,0.0004982179734958417,4.915363012921998e-05
68,1.3145080619096262e-05,4.867470257418922e-06,2.2644201442286024e-06,0.00039393403375051673,0.00048043311611455607,8.041575144164485e-05
69,1.9371875934750326e-05,7.81333615970832e-06,3.3916580022538075e-06,0.000607427456386828,0.0004542312984350417,0.00012828307339549664
70,2.9030515045333187e-05,1.1823860982104403e-05,5.0031888416171e-06,0.0009220789213094619,0.0004192840563269464,0.00020043119737933458
71,4.3747023643818606e-05,1.7904482827986803e-05,7.273324303540317e-06,0.0013788543862748358,0.0003756980180246155,0.0003075483122414179
72,6.581017730625622e-05,2.6701748044631948e-05,1.042607220976227e-05,0.002032342494687176,0.00032595687759172376,0.000464294378562936
73,9.839624487122511e-05,3.918143207885111e-05,1.474460556931791e-05,0.002954185229797035,0.0002763503442466779,0.000690486377196407
74,0.00014585316228678884,5.668494102925581e-05,2.058212054240581e-05,0.004237022782101597,0.0002385478126880683,0.0010125382477290442
75,0.00021405452517840443,8.095608195314921e-05,2.8372206787750584e-05,0.005998930591696373,0.0002326945222879545,0.0014651769186395421
76,0.0003108341474165612,0.00011431669142119433,3.863993068109299e-05,0.008388296944494236,0.0002904363544369709,0.002093458605052041
77,0.00044651190898555037,0.0001591620119121423,5.2011823558468194e-05,0.011589052762811209,0.00046082720972506763,0.002955092835458194
78,0.0006345211255017216,0.0002194516812194236,6.922537949989593e-05,0.015826127326520237,0.0008148185576782596,0.004123078534986431
79,0.0008921466419016076,0.0002993831148701692,9.113653343605609e-05,0.021370964263009006,0.0014541849820658148,0.005688639151516004
80,0.0012413812282399258,0.00040368555937267403,0.00011872503684383709,0.028546893358272943,0.002518331051505618,0.007764431307611101
81,0.001709905604424085,0.0005390679872971371,0.00015309720342165933,0.03773411931828484,0.004196667015635147,0.01048798616791859
82,0.0023321945388828412,0.0007126656036138268,0.00019548447549935788,0.049374059886699795,0.006740635914020965,0.014025322632427692
83,0.003150747981967342,0.0009330612888228118,0.0002472387727620734,0.06397274618902704,0.010475906210213881,0.01857465813154182
84,0.0042174421711372615,0.0012107079661732856,0.0003098228016588239,0.08210298915230056,0.015820773597435833,0.024370122244299002
85,0.005594991178260346,0.001556942118632887,0.00038479594338149126,0.1044050203941136,0.02329985518759181,0.031685362836654865
86,0.0073585045900561195,0.001984906206412007,0.00047379466374536383,0.131585334528974,0.0335659869690752,0.04083692606484529
87,0.00959712207835285,0.002509548905488268,0.0005785088448388709,0.16441349319295562,0.04741621695975029,0.05218727383649382
88,0.012415700708886503,0.0031478126528983186,0.0007006522225252998,0.2037166985710201,0.06581454305154555,0.06614730344092767
89,0.015936526150724828,0.003917318032453654,0.0008419300734710533,0.25037200705900137,0.08990892925997418,0.08317822883033288
90,0.02030101468551825,0.004838668181406103,0.001004001719331904,0.3052961253023449,0.12105317928612358,0.1037926876763448
91,0.025671369273632113,0.005932872422509394,0.001188441089081116,0.36943281452424953,0.16082322730481824,0.12855494751287666
92,0.032232150098146325,0.007223417697321821,0.0013966954665739495,0.44373801642721283,0.21103451278148277,0.15808009948409252
93,0.040191718138671687,0.008734475295812949,0.001630042580011426,0.5291629042764728,0.2737547875886204,0.19303214883990835
94,0.04978350955571454,0.010492171714782117,0.0018895492566450844,0.626635151720692,0.3513150922951347,0.23412093175141643
95,0.06126709908495176,0.012522697809269623,0.0021760307752222152,0.7370387935070472,0.4463171970892077,0.28209782214003165
96,0.07492901229822123,0.014853429597394552,0.0024900139289352197,0.8611931260013583,0.5616323434098902,0.33775022314913583
97,0.09108324948697494,0.0175118940182184,0.002831703205946612,0.9998311545654504,0.7004020668999189,0.4018948606063221
98,0.11007148801970233,0.02052591985268748,0.0032009536354848933,1.1535781390187987,0.8660257108661362,0.4753699542121847
99,0.132262935227904,0.02392268744211279,0.0035972478126811147,1.322930812759221,1.0621497209539754,0.5590263444085752
100,0.15805381005275634,0.0277291620220943,0.004019682156852777,1.5082378587631673,1.2926434228566208,0.6537177159107732
101,0.18786643866914648,0.03197040965297049,0.004466958853088787,1.7096822091108854,1.561574705655211,0.7602900642722509
