S,call,delta,gamma,Vega,theta,rho
1,4.241099725098372e-07,-3.7181956469693766e-08,-5.310091017922633e-07,-1.9915905684399237e-08,1.103658592869923e-05,-1.153346142714088e-07
2,1.7400025756552772e-07,-4.252150764418825e-07,-2.947965476774133e-07,-4.422673119057354e-08,2.4431450776537446e-05,-2.561214292002645e-07
3,-3.8155887740154744e-07,-6.710512883731804e-07,-2.0893921537627435e-07,-7.052864031930403e-08,3.8890649993220694e-05,-4.084398416602606e-07
4,-1.1492245098556719e-06,-8.55696484942112e-07,-1.636609330753066e-07,-9.821297370977519e-08,5.408631641074825e-05,-5.68762271584194e-07
5,-2.081920824083733e-06,-1.003974536325895e-06,-1.35415980009117e-07,-1.2697307128641832e-07,6.985248684035809e-05,-7.353166106858148e-07
6,-3.1507516459004716e-06,-1.130315154353797e-06,-1.1599554459549991e-07,-1.566204683039667e-07,8.609480828623416e-05,-9.070093502987097e-07
7,-4.336004135819155e-06,-1.2408969996837403e-06,-1.0176686374158009e-07,-1.8702697581050485e-07,0.00010273313106042383,-1.0830929309179553e-06
8,-5.623296643233021e-06,-1.3353481189727623e-06,-9.085939773553233e-08,-2.1809813719797023e-07,0.00011973064649917122,-1.2630345363571908e-06
9,-7.00163498177034e-06,-1.4219846816970055e-06,-8.221411593707455e-08,-2.497630082287194e-07,0.0001370459080521694,-1.4464115103259227e-06
10,-8.462319441826684e-06,-1.498169366071899e-06,-7.518067438600363e-08,-2.8196470392337304e-07,0.0001546512219772079,-1.6328920195355483e-06
11,-9.998280567138363e-06,-1.5666778143623005e-06,-6.93328184815168e-08,-3.146560620379994e-07,0.00017248629147160674,-1.82222160520902e-06
12,-1.1603651103554892e-05,-1.6442693357592887e-06,-6.439370582166527e-08,-3.478009706950856e-07,0.0001905951890995676,-2.0141596428196052e-06
13,-1.3273477155389471e-05,-1.6960027200457924e-06,-6.01643978777669e-08,-3.813658773017581e-07,0.00020890448591370618,-2.208543597502044e-06
14,-1.5003515898594867e-05,-1.7633642857256115e-06,-5.649746985284215e-08,-4.1532332554761176e-07,0.0002274509063827034,-2.4051957196464645e-06
15,-1.6790089508726318e-05,-1.8192283955859902e-06,-5.32853394993372e-08,-4.496517824998747e-07,0.0002461542830732664,-2.603970791976214e-06
16,-1.8629976931381434e-05,-1.8651184383825653e-06,-5.044412516142611e-08,-4.843249415513722e-07,0.0002650881481013924,-2.804781149969384e-06
17,-2.0520331916541788e-05,-1.911031689881895e-06,-4.791562850973378e-08,-5.193279203416913e-07,0.000284179523988258,-3.007477992298811e-06
