S,call,delta,gamma,Vega,theta,rho
1,0.002134953739684808,0.0034530525791151567,0.002133003855191856,8.000092426843283e-05,-0.00917567940031394,0.000329524751105717
2,0.0065511483545632855,0.005298801284900345,0.0016369579631820425,0.0002455852696160374,-0.027863171318809332,0.0010116135570718832
3,0.012623647824408158,0.006807408543113569,0.001402116401542225,0.0004732946983204006,-0.05335315817617259,0.0019496441943517293
4,0.020105328657446787,0.00813174545061246,0.0012562106804434037,0.0007538546492949494,-0.08458836096847389,0.003105413754964092
5,0.0288467324280829,0.009334001106753309,0.0011535704681764347,0.0010816564254521877,-0.12093323460693473,0.004455818853645044
6,0.038743758201749384,0.010447139334179845,0.001075960245761065,0.001452793692430232,-0.16194702315286413,0.0059847682018498985
7,0.049718068693587934,0.01149124233268406,0.0010144269557005314,0.0018643270242868493,-0.20729917296624656,0.007680153336908634
8,0.06170772178563805,0.012479662442332895,0.0009639742370309845,0.002313932277557551,-0.2567290484367657,0.009532400209802394
9,0.07466201445686298,0.013421852518291644,0.000921557263000583,0.002799707079226277,-0.3100237983000298,0.011533672161084805
10,0.08853836653941605,0.01432479135310416,0.0008851968850975833,0.0033200538729349915,-0.36700510824827504,0.013677388098487507
11,0.10330030596473261,0.015193817731740111,0.0008535414719457179,0.003873604302456757,-0.42752040935178925,0.015957911143893444
12,0.11891609787884846,0.016033119970559895,0.0008256311320731236,0.004459167773987471,-0.4914372700448588,0.018370336601902792
13,0.13535777363984425,0.016846084249788618,0.0008007621812855525,0.00507569501193017,-0.5586390933176588,0.020910341921864806
14,0.15260042037143098,0.017635472249200035,0.0007784049751990985,0.005722251399803424,-0.6290222787086464,0.02357407695441349
15,0.17062164704221539,0.018403602253247442,0.0007581519290145167,0.006397996938078965,-0.7024935883004346,0.026358081235688943
16,0.18940117407489437,0.01915237968219685,0.0007396834222905824,0.007102170866135626,-0.7789690087411927,0.029259220690747153
17,0.2089205117941049,0.019883475421700325,0.0007227446302549012,0.007834079568391772,-0.8583718624777248,0.032274637916385185
18,0.22916270427565813,0.020598329986132313,0.0007071294616523005,0.008593086974623132,-0.9406317225124639,0.0354017125517303
19,0.25011212232793706,0.021298129926350384,0.0006926691648034833,0.009378606795062971,-1.0256840432543157,0.03863802927051019
20,0.2717542940429097,0.021984022935406244,0.0006792240153652429,0.010190096166318163,-1.1134690169889438,0.04198135166721961
21,0.29407576452773077,0.022656868048365197,0.00066667704579082,0.011027050370870928,-1.203930910520512,0.04542960042874799
22,0.31706397861816016,0.023317611730355736,0.0006549296405200522,0.011888998450448884,-1.2970180707227996,0.048980835340439725
23,0.3407071819183063,0.02396699783080436,0.0006438978233935799,0.012775499496353593,-1.3926819919518607,0.05263324007742653
24,0.3649943366187507,0.024605628645701927,0.0006335096347509506,0.013686139470614478,-1.4908770606947286,0.05638510885419556
25,0.38991504935338367,0.025234159206632967,0.0006237029470668176,0.014620528522302223,-1.5915606332850274,0.0602348356082416
26,0.4154595089539773,0.02585321401404883,0.0006144238506866628,0.015578298643015298,-1.694692214337934,0.0641809042412067
27,0.4416184324110564,0.026463195523795946,0.0006056252505048931,0.016559101633228934,-1.8002337343059338,0.06822188017563402
28,0.46838301769145346,0.02706465052071394,0.0005972658279063126,0.01756260734259163,-1.908148944407273,0.0723564034271762
29,0.4957449023257354,0.02765780660052286,0.0005893090715414218,0.018588502095906456,-2.018403411074843,0.076583181524148
30,0.5236961268829405,0.02824329103923162,0.0005817227111126755,0.019636487368912547,-2.130964626978482,0.08090098477797625
31,0.5522291026103401,0.02882141747484468,0.0005744779796312827,0.020706278509030618,-2.2458016890603005,0.08530864047950891
32,0.5813365826427577,0.029392360767488412,0.0005675492320555975,0.021797603723672232,-2.3628843659473375,0.08980502879674111
33,0.6110116362872982,0.029956681579790256,0.0005609133812978229,0.022910203031911713,-2.482184602303761,0.09438907873082768
34,0.6412476259707863,0.03051432440059898,0.0005545497172576574,0.024043827503983373,-2.6036750866431646,0.09905976460777842
35,0.6720381865032975,0.031065838790311773,0.0005484396203847552,0.025198238422508012,-2.727329806440082,0.10381610288656694
36,0.7033772063651461,0.03161123030004376,0.0005425661120384007,0.02637320661524889,-2.85312383718761,0.10865714938912417
37,0.7352588107692898,0.032150998530156016,0.0005369138611488466,0.02756851195329091,-2.981032931614891,0.11358199602518047
38,0.7676773462887834,0.032685187889569534,0.0005314688666935297,0.02878394299521414,-3.1110342635365384,0.11858976981526935
39,0.8006273668721317,0.033214003769543865,0.0005262184099574796,0.030019297218575325,-3.2431054286519156,0.12367962920478702
40,0.8341036211016515,0.033737629356878074,0.0005211508979918733,0.03127438240324576,-3.3772250662700287,0.1288507634977787
41,0.8681010405870125,0.03425635330955856,0.0005162558047722143,0.032549020491656755,-3.513372137664561,0.1341023915413242
42,0.9026147294375734,0.03477027554765755,0.0005115236834107861,0.03384305716058744,-3.651527369363805,0.13943376159786247
43,0.9376399548400195,0.03527943492898089,0.0005069463349105519,0.035156382487966376,-3.791671066011304,0.14484415435389586
44,0.9731721389099797,0.03578414231597549,0.0005025172811201628,0.03648897364372239,-3.9337847757003885,0.15033288821575397
45,1.0092068522320379,0.036284553139864784,0.0004982323398294852,0.0378409779955291,-4.0778506349425925,0.15589933599624572
46,1.0457398099178685,0.036780711809569766,0.0004940916364937209,0.039212867970483956,-4.223852756446433,0.16154295419124054
47,1.0827668716897982,0.037272762654083635,0.0004901012018443396,0.04060571656916423,-4.371774187106325,0.1672633402782786
48,1.120284048558787,0.03776112755815575,0.00048627821991331643,0.04202166872691038,-4.521601981721801,0.17306033456288003
49,1.1582875202616918,0.038245251410273795,0.0004826562949311608,0.0434647153568779,-4.673323705794985,0.1789341968261304
50,1.196773669919954,0.038726311046843875,0.0004792960406341251,0.04494191902071343,-4.8269331642813995,0.18488589447196443
51,1.2357391455507862,0.039204117729951804,0.0004762978522698802,0.04646528317220344,-4.982427492805641,0.1909175672443197
52,1.2751809622439227,0.03967923767334014,0.00047382185508482166,0.048054506104344696,-5.139815084653776,0.19703323945741144
53,1.3150966640923485,0.04015200394391627,0.00047211199172281226,0.04974089919396185,-5.299113992052185,0.20323988560999592
54,1.3554845713066428,0.04062377101377024,0.0004715302903690599,0.05157277790934778,-5.4603652266393965,0.2095489710640663
