S,call,delta,gamma,Vega,theta,rho
1,0.0010371972012876206,0.0016854112398247134,0.0010546665245888924,3.955656888957222e-05,-0.0043235424138435286,0.00016205352315048702
2,0.0031999390161683975,0.002601051383825659,0.0008143852228085363,0.00012217848014122595,-0.013275963228059906,0.0005005409864367039
3,0.0061864035641415694,0.003352994574698509,0.0007000758499471627,0.0002363157705674926,-0.025589422074367985,0.000968145452001634
4,0.009876366667589422,0.004015110813271328,0.0006288396108347638,0.00037736799344233185,-0.04076247273748779,0.0015460199211982104
5,0.014196875337294036,0.004617558592434623,0.0005786146489369925,0.0005425436248960441,-0.05849184036427202,0.0022227280715644837
6,0.019096997091194712,0.005176356912550695,0.000540569959663062,0.0007298937807279082,-0.07856626460522875,0.002990285682263893
7,0.024538334434520526,0.005701292736526309,0.0005103615959706209,0.0009379492348429719,-0.10082677609490887,0.003842673567712451
8,0.03049048031905551,0.006198871450868726,0.0004855616286478237,0.0011655465154310207,-0.12514766202509353,0.00477512517461226
9,0.03692851298249981,0.006673713665028558,0.00046468854805747917,0.0014117320447024073,-0.15142600923168104,0.0057837338297145316
10,0.04383147984651407,0.007129237478142869,0.00044677827860939434,0.0016757041245221704,-0.17957544895530475,0.006865215051651829
11,0.05118141617968682,0.0075680375161146785,0.0004311717672483839,0.001956775381693754,-0.20952191578937907,0.008016752806039307
12,0.058962676698221396,0.007992190589889425,0.0004174005507895373,0.0022543471946481763,-0.24120102790070597,0.00923589459495
13,0.0671614617087171,0.00840333219676026,0.0004051209320787841,0.002567891562374469,-0.274555990442682,0.010520477252556892
14,0.07576547012133995,0.008802847339950404,0.00039407402313562656,0.0028969378230991882,-0.30953630075769567,0.011868572531714692
15,0.08476363848486548,0.009191825772747464,0.00038406046995453913,0.0032410626719242552,-0.34609636545557265,0.013278446202996673
16,0.09414594026188534,0.009571253511975186,0.00037492384627468844,0.0035998824874511337,-0.3841953144512189,0.014748526576402464
17,0.10390322845556046,0.009941950734893013,0.00036653934012975675,0.003973047288177711,-0.42379539322290327,0.016277379819712445
18,0.11402711017065975,0.010304543329731075,0.00035880598603377223,0.0043602359551392356,-0.46486224453134994,0.017863690376235253
19,0.12450984517875173,0.01065971685920708,0.0003516410437831574,0.0047611523357193875,-0.5073640493846732,0.019506244929023975
20,0.13534426284840728,0.011008002842594067,0.0003449759938822794,0.005175522086869888,-0.5512717032862824,0.021203919436940666
21,0.14652369334689866,0.011349844675212495,0.0003387534319720942,0.005603090010714018,-0.5965576588273791,0.022955668443902507
22,0.1580419100871133,0.011685649670134524,0.000332924947887836,0.006043617874623708,-0.6431965016151509,0.02476051597088968
23,0.16989308114579288,0.01201582028320658,0.0003274492793581274,0.006496882547085692,-0.6911644062634892,0.026617547706220265
24,0.18207172791939033,0.012340643784636285,0.0003222910890943176,0.006962674413274472,-0.7404388602250123,0.028525905033938145
25,0.19457268967823965,0.012660461568003711,0.000317419841799893,0.00744079602654768,-0.7909989385712635,0.03048477893174972
26,0.20739109297198438,0.0129755595157377,0.00031280903423080986,0.007931060923976885,-0.842824654512242,0.032493405528744024
27,0.2205223250587365,0.013286136080203903,0.00030843549103654055,0.008433292628950984,-0.895897014907554,0.03455106176442069
28,0.23396201069744202,0.013592538206097515,0.00030427886238415525,0.008947323734131984,-0.9501983533333203,0.03665706185956852
29,0.24770599177134178,0.013894803363445618,0.0003003212076246875,0.009472995157189246,-1.0057115390482707,0.03881075397033085
30,0.2617503093102917,0.014193246578031449,0.0002965466516791082,0.010010155440387525,-1.0624207680276498,0.04101151754587473
31,0.2760911875580795,0.014487919197669896,0.0002929409675944683,0.010558660095971728,-1.120310211266684,0.043258760853981386
32,0.29072501979288856,0.014779141799259321,0.000289491574045897,0.011118371165685925,-1.1793653442726537,0.04555191840671657
33,0.30564835565871623,0.015066992098411447,0.0002861870623815932,0.011689156617367136,-1.239572156030988,0.04789044945052722
34,0.32085788980535657,0.015351572790756052,0.00028301724741552903,0.012270890011600866,-1.3009168187139153,0.05027383580546995
35,0.33635045166706623,0.01563305040974683,0.00027997295259929444,0.012863450092881479,-1.3633870254992075,0.0527015805967812
36,0.35212299623665727,0.01591153320212868,0.0002770457768752621,0.01346672047680686,-1.4269700088220816,0.0551732064923982
37,0.36817259571430433,0.016187184925797737,0.00027422819237621354,0.014080589593179482,-1.4916539170517495,0.05768825460106263
38,0.38449643193063443,0.0164600416630023,0.00027151329573538163,0.014704950896948787,-1.557427009579726,0.060246283456466536
39,0.40109178946437624,0.01673033656057754,0.00026889485027492555,0.01533970413442054,-1.624278650469435,0.06284686796254046
40,0.4179560494011146,0.01699785867614878,0.00026636721939254926,0.015984758704457036,-1.6921981260686891,0.06548959909924434
41,0.4350866837205189,0.017262954954411214,0.0002639255125558293,0.016640041942128647,-1.761174694969725,0.06817408468584585
42,0.4524812503714257,0.017525786377703412,0.0002615656463644811,0.0173055176194703,-1.8311992255881648,0.07089995157361084
43,0.4701373892257514,0.017786105921402395,0.00025928477087600044,0.01798122474722108,-1.9022617259167873,0.0736668525125328
44,0.4880528193397059,0.018044371552505822,0.00025708218054365517,0.018667355238255467,-1.9743534196425827,0.07647448015957181
45,0.5062253383652977,0.018300372328639014,0.0002549607880375504,0.019364401240840046,-2.047465974541751,0.0793225968298561
