S,p03,p04,p05,p06,p07,p08,p09
38,3.489397614214794e-11,1.2745899961952394e-10,2.523985954082146e-10,3.9026636354379654e-10,5.37505365485304e-10,7.053038850484907e-10,9.405831361828795e-10
39,1.209344537032027e-10,4.280336127708142e-10,8.332911610998351e-10,1.2744707267439075e-09,1.7411778663700221e-09,2.2690033602174418e-09,3.0037800450126164e-09
40,3.9454369220477647e-10,1.3541602078724343e-09,2.593257870703199e-09,3.924149643190113e-09,5.319044765961665e-09,6.885142036065154e-09,9.049847289240793e-09
41,1.2161990777422788e-09,4.051414842450027e-09,7.634676489134878e-09,1.1433575815195523e-08,1.53791947508309e-08,1.9777403317872005e-08,2.5814926859168408e-08
42,3.5545457759871054e-09,1.150077685641353e-08,2.133506878727191e-08,3.162883555761724e-08,4.222578167637032e-08,5.395573237518243e-08,6.994959507105782e-08
43,9.880786618813658e-09,3.107225941120396e-08,5.676506638705144e-08,8.332437545088025e-08,1.1043013008789617e-07,1.4022869115797365e-07,1.80592455604712e-07
44,2.6198100978057773e-08,8.012663503725954e-08,1.4420498816432333e-07,2.0963867377192846e-07,2.758546357324648e-07,3.4816205405444273e-07,4.454772187963558e-07
45,6.643157343432229e-08,1.97732469488945e-07,3.506897979209639e-07,5.050204534447036e-07,6.599041878972424e-07,8.279287245217242e-07,1.0526441025607e-06
46,1.6149935063765504e-07,4.6809184907387365e-07,8.183847924602451e-07,1.1676914927064872e-06,1.515408250278213e-06,1.8902072304908093e-06,2.388376750865368e-06
47,3.772656898256025e-07,1.0654003045539007e-06,1.8367687942251386e-06,2.5971440406434064e-06,3.3480410062189566e-06,4.152335945139553e-06,5.214929885292318e-06
48,8.486357844933277e-07,2.336308157287719e-06,3.97296898074817e-06,5.568141171399614e-06,7.131143308319889e-06,8.794977612229712e-06,1.0980159471487764e-05
49,1.841814014625762e-06,4.94568125351592e-06,8.298075004234417e-06,1.1529358158482377e-05,1.4671236129663427e-05,1.799558270633314e-05,2.2336276197699993e-05
50,3.863800955603675e-06,1.0124782946280456e-05,1.676567482515005e-05,2.3097101437577755e-05,2.9207055487377402e-05,3.56334905220522e-05,4.3976943858666125e-05
51,7.848175711529809e-06,2.007893648567843e-05,3.28226255678251e-05,4.4842661687480356e-05,5.6356529287878724e-05,6.839621385319657e-05,8.394008724739248e-05
52,1.5459626392163523e-05,3.863440440155927e-05,6.236098279945886e-05,8.450506683084249e-05,0.00010556255934844406,0.00012745562969099076,0.00015556575259908703
53,2.9576843932511767e-05,7.22311998844681e-05,0.0001151527601309148,0.00015479727865371997,0.00019222707069249662,0.00023092306669389892,0.00028033998620289707
54,5.503412984511879e-05,0.00013139841889971512,0.00020694322896431077,0.00027600965469658977,0.0003407590954449478,0.00040732836090455054,0.0004918906689467371
55,9.972559429996482e-05,0.00023287888251464977,0.0003624097029118529,0.0004796445086468152,0.0005887904243512715,0.0007003927080853499,0.0008414214679116685
56,0.00017620051404634038,0.00040259650259758976,0.0006192156228622457,0.000813333083555553,0.0009928239119990508,0.0011753700524277278,0.001404866142950475
57,0.0003039016987635127,0.0006796777752772559,0.0010333975727193192,0.001347283437071833,0.00163556630527256,0.0019272077756726743,0.0022920077962503642
58,0.0005122170454937158,0.0011217421072553517,0.0016863082894986356,0.0021824766634774067,0.002635151260194844,0.003090716126295361,0.0036577279609647105
59,0.0008445235176122537,0.0018116579768612418,0.0026932948139344235,0.003460762568133365,0.004156372263540962,0.004852830980402151,0.005715423174779176
60,0.0013633977168264865,0.0028659173232899945,0.004214212147230417,0.005376899632249389,0.00642391575820866,0.0074669034975526245,0.008752450883326117
61,0.0021571432656146087,0.004444704541613025,0.0064657561468365096,0.008192436696898063,0.009737412507820875,0.01126875552944222,0.013147246985920243
62,0.0033477382409804117,0.006763627007600017,0.009735445755685374,0.012251148722823025,0.014487916015271975,0.016694009630283373,0.019387505368981955
63,0.005100233169090794,0.010106932364519318,0.014396899259595135,0.01799552499184452,0.02117518243279718,0.02429595171282565,0.028088543221722276
64,0.007633531031126731,0.014841869112832187,0.02092584232242045,0.025983579295532154,0.030424884051613414,0.034762933052790226,0.04001071815279097
65,0.011232357358660312,0.021433660642773838,0.029916071835805805,0.0369050267260947,0.04300465995939803,0.04893409067883471,0.05607454114221191
66,0.016260086011310525,0.030460372071981896,0.0420943977034766,0.05159567264743014,0.05983771718912718,0.06781198761930066,0.07737197126118661
67,0.023171932819969595,0.04262677041583923,0.058333415412260836,0.0710487095997186,0.08201256843579172,0.09257067260562499,0.10517231002160794
68,0.03252787593947988,0.05877612993819602,0.07966084673774812,0.0964215394818257,0.11078745045861246,0.12455765464340542,0.14092115611032302
