S,p01,p02,p03,p04,p05,p06,p07,p08,p09
1,1.208585970470197e-23,1.8723732260696437e-24,-1.782983470532787e-23,8.124069925331589e-24,-5.424228395738109e-24,7.100981756308654e-24,-7.415331144536278e-25,5.002208102314402e-24,5.092729830427995e-24
2,-4.549631969637159e-22,-7.5592388430362475e-22,-2.7800537745668923e-22,-1.4275372773382546e-21,9.281199493422477e-22,-5.566748308426194e-22,1.1437615708836556e-21,-4.963606771326206e-22,-1.0022499851129754e-21
3,1.8591698748031837e-20,-9.08779708601256e-21,-5.068444944737547e-21,1.3439083081254849e-20,-1.4068820690251288e-20,7.01924377313627e-21,-2.297081099287789e-20,1.5098512429757234e-20,1.511582727906093e-20
4,7.707885192664408e-20,-3.0455837522604295e-20,-6.432254527337694e-20,1.770938016753564e-20,3.318190397032558e-20,4.644911945890984e-20,1.931839403660284e-19,-1.2350496615352113e-19,-4.292154222676003e-20
5,4.309421297379947e-20,-6.929669540355468e-19,4.776706133747095e-19,-2.8441056538934226e-19,-7.025702709077944e-19,5.677114730543446e-20,-1.4337936073646998e-19,-3.9559257153379137e-19,-7.817029450795929e-19
6,1.096070476671418e-18,2.3013659590181113e-19,-1.7107737228006182e-18,1.1571428604994366e-18,-5.660816722264426e-19,1.3889032110112594e-18,6.446620070397272e-19,3.0394711569022533e-18,1.1175258700459821e-18
7,-1.7871614613232136e-18,-1.6336302227475391e-18,7.551614738063763e-19,5.8974197614080865e-18,5.716463033004896e-19,2.7578912446269245e-18,1.6887237180196868e-19,4.971309417969903e-18,3.7907756901213965e-18
8,-1.0222759015034557e-17,-1.1491076035076708e-17,-2.5033608640096462e-18,3.830374684709874e-18,-3.480861168950397e-18,3.6760005474038236e-18,5.9924363604941356e-18,1.5574696877100276e-17,3.249020122690003e-18
9,1.4852109890333772e-18,2.1166730192110604e-18,7.572300579993969e-18,1.4663817595895873e-17,5.781737835383963e-18,7.901085753787658e-18,4.8186775949323524e-18,-2.0836834403438744e-17,-1.494249887169842e-17
10,2.69610664908457e-17,1.794079259415572e-18,9.838618804840361e-18,1.003727816983678e-17,-3.4322857617754953e-18,9.031844651521907e-18,2.131313653968379e-17,4.103960490936121e-19,4.749688317259994e-18
11,-9.884036833256468e-17,1.4471621065758687e-17,-7.674753190864119e-17,-1.9825961097757913e-17,-2.725883400365472e-17,-8.878367503988546e-17,2.3926468656662504e-17,3.2806712282019653e-17,-1.6143543226880722e-17
12,1.291160128933258e-16,-6.776787199799529e-17,7.64042523439478e-17,-9.123561671869144e-17,-1.464663555228958e-17,3.142554349887136e-17,1.2037402610581152e-17,-1.993820556179509e-17,4.123634875118579e-17
13,-9.776746467367557e-17,6.003999407078994e-17,1.1664407487736505e-17,1.0716401680006518e-16,-5.260156122104652e-17,-5.742544186200604e-17,9.637656558312068e-18,7.91103329849697e-17,-6.218997587050309e-17
14,-2.240884955463677e-16,-5.430941722082931e-16,2.9311089677639715e-16,6.481027642337557e-16,-3.482168571431269e-17,7.076291054981674e-16,-9.23740012849129e-16,1.7203865825146505e-16,-2.562144348915486e-17
15,6.548444144639672e-17,-6.52312493946766e-17,5.501416411660773e-16,4.042966163399083e-16,-7.595562499125871e-17,1.03789397776373e-16,-1.772140795749696e-16,-2.3864685958811143e-16,6.298808607317519e-16
16,-2.5421711415513297e-16,-2.362999080485793e-16,-4.973666958566885e-17,2.8492393239598424e-17,-3.910938202814794e-17,1.8817947779437607e-16,5.0981362255617794e-17,3.8161493168169353e-16,-1.4618903917049377e-16
