S,call,delta,gamma,Vega,theta,rho
1,0.0001273784505505409,0.00025151768688613796,0.0002485125527639052,9.320844205105506e-06,-0.0005299821941983501,3.103483097816268e-05
2,0.0005032151836517227,0.0005002074709298254,0.0002488300722316549,3.7331012502170996e-05,-0.002106280091746654,0.0001243000771972494
3,0.0011278717410934285,0.0007491360071339159,0.00024901320662363766,8.405659659852308e-05,-0.0047209371611608986,0.00027988385270429766
4,0.0020015371358462104,0.00099821863015076,0.0002491419689391178,0.00014951122006244544,-0.008369665681004501,0.0004978321870843447
5,0.0031243420842365275,0.001247409901067309,0.00024924116846791744,0.00023370429731630477,-0.01304943778902834,0.0007781768929758514
6,0.004496386671605212,0.0014966902283503059,0.00024932178069488053,0.00033664303365332077,-0.018757916747658143,0.0011209423255928441
7,0.006117751985405118,0.0017460531284707592,0.0002493896283321112,0.00045833326490010706,-0.025493194708015032,0.001526148215051301
8,0.00798850615685351,0.001995467072829493,0.00024944816967228944,0.0005987798911734343,-0.03325364671125097,0.0019938111241006584
9,0.010108707911047966,0.0022449445948036217,0.0002494996293941898,0.0007579871361563378,-0.042037868151767466,0.0025239453297319636
10,0.012478408832901414,0.0024944704288265562,0.0002495455202373986,0.0009359587090345539,-0.051844608814355375,0.0031165633822792522
11,0.015097654902485361,0.002744031998153096,0.00024958691974275027,0.001132697914803249,-0.06267277270072258,0.0037716764598669235
12,0.01796648758364864,0.002993641272375225,0.0002496246187533302,0.001348207734255119,-0.07452133840568642,0.004489294633085172
13,0.021084944623968763,0.0032432860216924375,0.0002496592159395572,0.0015824908779216162,-0.08738938045427247,0.005269427093106127
14,0.024453060659815923,0.0034929600878363942,0.0002496911810645486,0.0018355498351482757,-0.10127607537324668,0.006112082224715708
15,0.028070867685071398,0.003742670756645694,0.00024972087717123337,0.002107386899985464,-0.11618052075945684,0.007017267823067329
16,0.031938395421581625,0.003992390099072374,0.00024974860457493975,0.0023980042141574787,-0.13210219168557913,0.007984991126988583
17,0.03605567161701507,0.004242179871272178,0.00024977460065522816,0.0027074037678778695,-0.14904025097406404,0.009015258824879302
18,0.040422722287901044,0.004491950908458442,0.0002497990726074706,0.003035587427743791,-0.16699407204279204,0.010108077291154371
19,0.04503957192052247,0.004741748660386236,0.0002498221939040146,0.00338255695526285,-0.18596314765861877,0.011263452433935004
20,0.04990624363886342,0.004991591515124405,0.00024984408222850085,0.0037483140028979345,-0.20594668331819221,0.012481389855684142
21,0.05502275934642587,0.005241436798475441,0.00024986487379141664,0.004132860150392326,-0.22694432999514902,0.013761894951391794
22,0.060389139847076674,0.005491310184346787,0.0002498846752435613,0.004536196887387767,-0.24895558392579176,0.01510497270526545
23,0.0660054049488482,0.005741194325503685,0.0002499035790803905,0.004958325635837091,-0.2719797748129693,0.016510627974530845
24,0.071871573553754,0.005991154100604135,0.0002499216378293312,0.005399247750004221,-0.2960165529364289,0.017978865280571243
25,0.07798766373602174,0.006241037547871642,0.0002499389518961781,0.0058589645297868476,-0.3210653909402339,0.019509689076074865
26,0.08435369281064857,0.006490965404060134,0.0002499555563917344,0.0063374772160673665,-0.3471259224507861,0.021103103547276403
27,0.09096967739380972,0.006740941138616563,0.0002499715201498276,0.006834786998796694,-0.3741976312143791,0.022759112711795423
28,0.0978356334563597,0.006990911322057869,0.0002499868857752663,0.00735089503031694,-0.4022801841641055,0.0244777204630453
29,0.1049515763714399,0.007240928689977721,0.0002500017112772035,0.007885802404822284,-0.43137318717079154,0.026258930503619823
30,0.11231752095702376,0.007490998099601853,0.00025001600539864555,0.008439510189861554,-0.4614762738608391,0.02810274646047883
31,0.11993348151409705,0.007741007140849021,0.0002500298194874073,0.009012019411697159,-0.492588995981702,0.030009171841233192
32,0.12779947186104854,0.007990991202078135,0.00025004318893184774,0.009603331054541808,-0.5247110551609424,0.031978209864835794
33,0.13591550536477218,0.008241061999481047,0.0002500561496754372,0.010213446103302104,-0.5578422779262127,0.034009863926487416
34,0.14428159496896556,0.008491106429087125,0.00025006866993804167,0.010842365464058812,-0.5919819551225558,0.03610413713411864
35,0.15289775322014085,0.008741174450932476,0.00025008084991728907,0.011490090127685981,-0.6271301672411411,0.03826103249088275
36,0.16176399229235405,0.00899128271836247,0.0002500926662984959,0.01215662115125471,-0.6632863036593051,0.0404805529888308
37,0.17088032401279865,0.009241427068040764,0.0002501041793112613,0.01284196001982707,-0.7004502478036301,0.04276270165193274
38,0.18024675989384306,0.009491518682125388,0.0002501154217071644,0.013546109440265575,-0.738621519502658,0.045107481481954086
39,0.18986331118540323,0.009741620010661478,0.00025012651116984586,0.014269075435946466,-0.7778000937763707,0.04751489599413849
40,0.19972998898087285,0.00999172550253391,0.00025013763782499865,0.015010872452814183,-0.8179852933887233,0.04998495019142845
41,0.2098468044518799,0.010241835157742685,0.0002501493115425468,0.01577153514981111,-0.8591773736910113,0.05251765231722993
42,0.22021376937329204,0.010492054447475141,0.00025016266946842336,0.01655114390389234,-0.9013759683096367,0.05511301882504815
43,0.23083089726681066,0.010742227940507831,0.00025017992733022965,0.017349877637767852,-0.9445807358510194,0.057771084095714624
44,0.2416982057980843,0.010992431964673699,0.0002502058474296298,0.018168117607020307,-0.988792514533543,0.06049192127766111
45,0.2528157215973013,0.011242634601060786,0.00025024937178041995,0.01900664205023439,-1.0340113931750494,0.06327568178587928
46,0.26418348956172266,0.011492964913095705,0.0002503272938936263,0.019866975584925672,-1.0802391758879537,0.06612266900962727
47,0.2758015901052592,0.011743389594087716,0.00025046975160591956,0.020751989702749718,-1.1274789213366887,0.0690334718861374
48,0.2876701699450776,0.011993897541806575,0.00025072861065122964,0.021666893993965708,-1.175737057712567,0.07200919221739266
49,0.2997894950800091,0.01224482459871723,0.00025119043456367507,0.022620808781126378,-1.2250239933564444,0.07505182200440164
50,0.31216003883656324,0.012496331747158251,0.0002519946074031054,0.023629167469896295,-1.2753578582103131,0.07816484838274462
