S,call,delta,gamma,Vega,theta,rho
1,6.421012143817189e-05,0.00012542736895762227,0.00012292316801704346,4.610422378072132e-06,-0.00025513441457170744,1.5304294917679092e-05
2,0.0002512328442534934,0.00024872952005330906,0.00012360448264794963,1.8543903579034716e-05,-0.0010221134214612876,6.155675188058551e-05
3,0.0005618385427320617,0.0003725462538288482,0.00012400441704832517,4.185878401384048e-05,-0.0023017555092832986,0.00013895118992587364
4,0.000996439363254555,0.000496700662371008,0.00012428879889907554,7.458627485057955e-05,-0.004094488355137205,0.0002475913007059759
5,0.0015553237976204824,0.0006211036676292969,0.00012450973996616654,0.0001167482225684132,-0.006400603354619894,0.00038754966377989997
6,0.002238714663952682,0.000745706252823497,0.00012469049362473505,0.00016836149996715677,-0.009220321641606466,0.000558882335592939
7,0.003046793729638686,0.0008704761304129116,0.0001248434819542052,0.00022943987199302435,-0.012553836659448536,0.0007616350473482052
8,0.003979714591835068,0.0009953852412453168,0.000124976126808507,0.0002999949696991244,-0.01640128302268784,0.0009958464384281912
9,0.005037610289973074,0.0011204242394979858,0.00012509321965434306,0.000380036867531075,-0.020762799812779065,0.001261549981970353
10,0.0062205981882182855,0.0012455664104293884,0.00012519803777033545,0.0004695744524945908,-0.025638501651575885,0.001558775204746343
11,0.007528783297618996,0.0013708197771356012,0.00012529291834942335,0.0005686156758118177,-0.03102849132144425,0.0018875485148853175
12,0.008962260640384686,0.0014961505125088426,0.00012537958069339106,0.0006771677329812931,-0.036932845497161804,0.0022478938343541144
13,0.01052111699301169,0.0016215816016351692,0.0001254593554218808,0.0007952371973429795,-0.043351694629933935,0.0026398329837189205
14,0.012205432208727593,0.00174706004871239,0.0001255332399661968,0.000922830113133169,-0.05028504418413959,0.003063386060792039
15,0.01401528024475763,0.0018726284412018401,0.00012560206019349152,0.0010599520767692883,-0.057733020100703136,0.0035185716606815627
16,0.015950729976312212,0.0019982713400645835,0.00012566646938327874,0.0012066083132124261,-0.06569571588121992,0.004005407114836268
17,0.01801184585259557,0.0021239562192354455,0.00012572699156082612,0.0013628036982238356,-0.07417310030066737,0.004523908645262531
18,0.020198688433276903,0.0022497162119328173,0.00012578407326130359,0.001528542814335787,-0.0831652455235421,0.005074091472857811
19,0.02251131483284407,0.0023755445527351426,0.00012583809223809528,0.001703829991886452,-0.09267231287912736,0.005655969969112217
20,0.02494977909280849,0.0025013787915972863,0.0001258893527270044,0.0018886693188037429,-0.10269427981601797,0.006269557735992525
21,0.02751413249659363,0.0026273290834599727,0.00012593813058375813,0.002083064680538649,-0.11323111753780424,0.006914867685045566
22,0.03020442383831383,0.0027532972429744618,0.00012598464216306837,0.0022870197681316984,-0.12428305433409559,0.007591912037051284
23,0.033020699654035715,0.0028792940254263044,0.00012602910701153824,0.0025005381103573865,-0.13584992436532772,0.008300702579108754
24,0.03596300442219823,0.0030053487476422447,0.00012607170023215541,0.002723623073221104,-0.14793195696194417,0.009041250442765048
25,0.03903138073845181,0.0031314222048717255,0.00012611254561478713,0.0029562778821809466,-0.160529051856928,0.009813566362662507
26,0.04222586946908577,0.003257535907685849,0.0001261518108031101,0.00319850563163665,-0.1736413707265072,0.010617660670120264
27,0.04554650988642067,0.003383723509720049,0.00012618959127630447,0.0034503092928572787,-0.1872688309978443,0.011453543108733142
28,0.04899333978887165,0.0035099364387169985,0.00012622601068545958,0.003711691731744793,-0.2014114701409664,0.012321223346115072
29,0.05256639560792855,0.0036361545718843757,0.00012626118650604923,0.00398265570907691,-0.21606948313879215,0.01322071045625761
30,0.05626571250388271,0.0037624608290043327,0.0001262951391384215,0.004263203878251964,-0.23124267986562863,0.014152013294577158
31,0.06009132445181796,0.0038887670861242896,0.00012632800312772918,0.0045533388215099335,-0.24693121714047805,0.015115140417076843
32,0.06404326431917236,0.004015086180197969,0.00012635982482578356,0.004853063025611615,-0.2631351483928235,0.016110100087285417
33,0.06812156393593484,0.004141460785422879,0.00012639067570319185,0.005162378901441,-0.279854552032166,0.017136900321707005
34,0.07232625415847348,0.004267834002869009,0.0001264206132833845,0.005481288800762707,-0.29708917825832515,0.01819554886900443
35,0.0766573649280116,0.0043943106098343065,0.00012644970126540755,0.005809795084257829,-0.31483948781385607,0.019286053305755946
36,0.08111492532521951,0.004520802482366193,0.000126477966988503,0.006147900180886179,-0.33310517122409067,0.02040842097747464
37,0.08569896362380075,0.004647300599902593,0.00012650548553150287,0.006495606991244185,-0.351886253469047,0.021562659020812888
38,0.09040950734997574,0.004773795247992041,0.00012653234182646855,0.006852919864006046,-0.3711829787977905,0.022748774916592215
39,0.09524658336459903,0.004900320427214666,0.0001265586475895919,0.007219847051390116,-0.3909950543889984,0.02396677610608244
40,0.10021021800743457,0.005026955240960973,0.00012658471021387285,0.007596406794083133,-0.41132290351519885,0.02521667204213873
41,0.10530043739238472,0.005153461685170058,0.00012661114115464223,0.00798264106156854,-0.43216640405185913,0.026498475909353388
42,0.11051726804282085,0.005280113152261734,0.0001266391920495824,0.008378645420595299,-0.45352568506240587,0.027812210293132186
43,0.11586073824947389,0.005406797926044149,0.00012667167287316872,0.008784630334754406,-0.4754011614926945,0.029157919159000786
