S,p02,p03,p04,p05,p06,p07,p08,p09
32,-9.511247303655753e-17,-2.963391610526522e-15,-1.6783790245311376e-14,-4.348288575018459e-14,-8.192289996641231e-14,-1.3333906405666193e-13,-2.0544448337803877e-13,-3.292675160946843e-13
33,-2.525562359837794e-16,-1.5934855184425757e-14,-8.738025562884807e-14,-2.2177236541830953e-13,-4.1146554570297516e-13,-6.620170584937374e-13,-1.0101668332980716e-12,-1.6007768714048796e-12
34,-1.142610108879492e-15,-7.909916277469295e-14,-4.172932448970433e-13,-1.03609961572288e-12,-1.8955138999464624e-12,-3.0155388381973234e-12,-4.556096198154103e-12,-7.140272120098183e-12
35,-5.505684962640376e-15,-3.6128892685270504e-13,-1.8360770601730197e-12,-4.464079200167115e-12,-8.052311432512076e-12,-1.2672199990420003e-11,-1.896106932185032e-11,-2.9399616975370453e-11
36,-2.513282992573051e-14,-1.526942220955824e-12,-7.482741494585284e-12,-1.7826602143815316e-11,-3.172110160627186e-11,-4.939599707750802e-11,-7.32151527883217e-11,-1.1235148060164738e-10
37,-1.0755831939704316e-13,-6.001889499297024e-12,-2.8390334661105358e-11,-6.631640794619377e-11,-1.164545652513237e-10,-1.7949396703517034e-10,-2.636191610422248e-10,-4.0048546772436297e-10
38,-4.2963351703310714e-13,-2.204188690387714e-11,-1.0074688914567963e-10,-2.3087410610727721e-10,-4.002510190047827e-10,-6.108069472116835e-10,-8.891269322318521e-10,-1.3376184385031049e-09
39,-1.6070743153324163e-12,-7.595621421895214e-11,-3.357952971399302e-10,-7.553521666192536e-10,-1.2932667734981498e-09,-1.9546132579461413e-09,-2.82074049708548e-09,-4.203500394429545e-09
40,-5.650632991915655e-12,-2.4656537926624696e-10,-1.055305346959151e-09,-2.3313683751664447e-09,-3.943502063232815e-09,-5.904369968622912e-09,-8.449349282877799e-09,-1.2475724898555169e-08
41,-1.8741112175919535e-11,-7.566745618568869e-10,-3.138194909812587e-09,-6.812191082214436e-09,-1.1387690372565777e-08,-1.6894991878237185e-08,-2.3980343617439943e-08,-3.5091540734237566e-08
42,-5.883039662207686e-11,-2.2025424379519176e-09,-8.859172204083148e-09,-1.8905201433757288e-08,-3.124254861508287e-08,-4.594170287743413e-08,-6.46916552878092e-08,-9.384367201802244e-08
43,-1.7533200317099713e-10,-6.099489241514302e-09,-2.3813258631080546e-08,-4.9978918890953056e-08,-8.167730997083049e-08,-1.1907027102475018e-07,-1.6637205518128783e-07,-2.393027327918287e-07
44,-4.975334024292273e-10,-1.6115009568615337e-08,-6.111629639520336e-08,-1.26210591813097e-07,-2.0402699077669636e-07,-2.9493734076238043e-07,-4.090073552244972e-07,-5.834528814484537e-07
45,-1.3478297483431159e-09,-4.0724622237831295e-08,-1.5014698038017386e-07,-3.0521780900380675e-07,-4.882047179927756e-07,-6.999701439766818e-07,-9.635855791034874e-07,-1.3635325412206541e-06
46,-3.4943387586809745e-09,-9.86758447830501e-08,-3.5393528152417664e-07,-7.085146128435194e-07,-1.1216562682541482e-06,-1.5953812413491894e-06,-2.180553139964845e-06,-3.061485314928843e-06
47,-8.689572924116964e-09,-2.2974913992886668e-07,-8.022877743203651e-07,-1.582187666493815e-06,-2.4797183783110243e-06,-3.499635147144039e-06,-4.750021012248852e-06,-6.618170213091517e-06
48,-2.0770653438750758e-08,-5.150852347673473e-07,-1.7523416952107914e-06,-3.405768657819321e-06,-5.285714159077639e-06,-7.4033016257915195e-06,-9.980339097307225e-06,-1.3802199791209284e-05
49,-4.7815600550526345e-08,-1.114080029489906e-06,-3.6949694056752937e-06,-7.080050390625116e-06,-1.0883695495764456e-05,-1.5131517363997187e-05,-2.02639235923875e-05,-2.7820710455052056e-05
50,-1.0620532116501216e-07,-2.3288317385755023e-06,-7.534782635993736e-06,-1.4239062969870067e-05,-2.1685885164371257e-05,-2.99328515452695e-05,-3.982742758561352e-05,-5.429342144289196e-05
51,-2.2798933833659578e-07,-4.712635919726538e-06,-1.488370014748737e-05,-2.7749721886481166e-05,-4.188045912364723e-05,-5.7401796421714725e-05,-7.589665470667813e-05,-0.00010275057011221664
52,-4.737596440212684e-07,-9.24623545153658e-06,-2.8523068877429755e-05,-5.248426441580385e-05,-7.851230480315457e-05,-0.0001068737684951574,-0.00014044274017270642,-0.0001888564779537331
53,-9.543630686773676e-07,-1.7614405759352263e-05,-5.3106519389114985e-05,-9.647406544557127e-05,-0.0001430775278523305,-0.00019346328770470812,-0.00025271098568709326,-0.000337598241584487
54,-1.8662702551960282e-06,-3.2625614730445354e-05,-9.619366722318749e-05,-0.00017257618235298346,-0.00025379804842828554,-0.0003409430901583273,-0.0004427613453992752,-0.000587705850709177
55,-3.54726531968183e-06,-5.8828100843203525e-05,-0.000169721093242546,-0.0003008021843029206,-0.00043876045182735153,-0.0005856778999252376,-0.0007562622205143021,-0.000997576652634633
56,-6.561243686121491e-06,-0.00010338535598295294,-0.0002920284366236507,-0.0005114674807744554,-0.0007401069390341528,-0.0009818238118870436,-0.0012607681268931618,-0.0016529533695450965
