S,p02,p03,p04,p05,p06,p07,p08,p09
33,-1.3075752280244092e-17,-2.493084399029022e-16,-5.9350844832095754e-15,-3.3777775592059887e-14,-9.743424290736705e-14,-2.0816747481378492e-13,-3.9234658220800963e-13,-7.526045370042522e-13
34,-1.2859827114175329e-17,-1.0506863092916423e-15,-3.02688720528124e-14,-1.6459115660495178e-13,-4.636620548393671e-13,-9.742897787258401e-13,-1.8096198443762434e-12,-3.4183893162655676e-12
35,-1.401126986144486e-17,-4.977224104671584e-15,-1.4140796820215722e-13,-7.39246015794841e-13,-2.0344645667763085e-12,-4.203266680065564e-12,-7.696173715150415e-12,-1.432313224804884e-11
36,-1.4461213579498693e-17,-2.2747121246664712e-14,-6.101732000714115e-13,-3.0744840528921235e-12,-8.271472345306268e-12,-1.6807896982183763e-11,-3.03497490988583e-11,-5.5671025719214935e-11
37,-4.383876920937464e-17,-9.744413348698054e-14,-2.4466706147137188e-12,-1.1898044386436606e-11,-3.130959548666403e-11,-6.260921189450342e-11,-1.1153251252686498e-10,-2.017309730887354e-10
38,-6.55999465308767e-17,-3.899681687190781e-13,-9.16052434518093e-12,-4.304124111516749e-11,-1.1085663860532897e-10,-2.182460459954638e-10,-3.837074660142791e-10,-6.846154240234886e-10
39,-1.2565299574257953e-16,-1.4613088425129499e-12,-3.2163902759066657e-11,-1.4616396659132693e-10,-3.686870747807725e-10,-7.149231557406858e-10,-1.2409847253840253e-09,-2.185026363369951e-09
40,-4.494987581420148e-16,-5.147093550956863e-12,-1.0632581021354912e-10,-4.677661350705722e-10,-1.1562206662839197e-09,-2.2092438084335084e-09,-3.78755579622674e-09,-6.583459357289284e-09
41,-1.6339968372984891e-15,-1.709972480549791e-11,-3.3212054090870796e-10,-1.4157852849846034e-09,-3.4312077187677515e-09,-6.462904513913042e-09,-1.0947121714726647e-08,-1.879116363603454e-08
42,-6.1146184540822284e-15,-5.376604530136011e-11,-9.835097203088869e-10,-4.066005957918744e-09,-9.666929695894291e-09,-1.7956271363492297e-08,-3.005988344702226e-08,-5.097378451956969e-08
43,-2.136074529020349e-14,-1.6049435390498923e-10,-2.769570435579263e-09,-1.1113476915528079e-08,-2.593375602918007e-08,-4.7522799431777824e-08,-7.86517569699357e-08,-1.317998942152107e-07
44,-7.100363266108522e-14,-4.561342861514967e-10,-7.437350174241887e-09,-2.8990184518554575e-08,-6.643190420858667e-08,-1.2013737513842892e-07,-1.9663046852232118e-07,-3.2571676655273204e-07
45,-2.2430948468860786e-13,-1.2375378297738392e-09,-1.9095221744644208e-08,-7.235808180994988e-08,-1.6290350146301876e-07,-2.908350368639119e-07,-4.708816076517444e-07,-7.71283749649554e-07
46,-6.748516908034986e-13,-3.213087488292113e-09,-4.698681830461382e-08,-1.7321717705852253e-07,-3.8331171811830313e-07,-6.758151958908131e-07,-1.0826967031100595e-06,-1.7540750746147304e-06
47,-1.9384336157531757e-12,-8.001505250053758e-09,-1.11055480814058e-07,-3.98584169995362e-07,-8.673460322259888e-07,-1.510662956034963e-06,-2.3953978916967533e-06,-3.83954126687187e-06
48,-5.3278895240506e-12,-1.915230916633998e-08,-2.526473355421672e-07,-8.834113833934225e-07,-1.8911844943149231e-06,-3.25494524233482e-06,-5.109736772098736e-06,-8.105464721214474e-06
49,-1.4039496933959919e-11,-4.414897113102415e-08,-5.542872093911791e-07,-1.8894955236835018e-06,-3.9810453496577445e-06,-6.772869132514036e-06,-1.0528883320989781e-05,-1.6533056389944447e-05
50,-3.553152467922477e-11,-9.81883015208448e-08,-1.17483526104223e-06,-3.90694730572191e-06,-8.104867435670718e-06,-1.3633729261251015e-05,-2.0993551142896363e-05,-3.264063099281258e-05
51,-8.650916826576078e-11,-2.1104409022142304e-07,-2.409708062640047e-06,-7.822661845173754e-06,-1.5984248966982265e-05,-2.659366515390139e-05,-4.057092967047768e-05,-6.247362288532947e-05
52,-2.0293022488233132e-10,-4.3908104081928404e-07,-4.790399332345761e-06,-1.5190264368237898e-05,-3.058443575052514e-05,-5.0341320179428466e-05,-7.610762174328645e-05,-0.00011609766180403319
53,-4.5925270913895313e-10,-8.855457624293822e-07,-9.243327338599654e-06,-2.8647989872522968e-05,-5.685796373387179e-05,-9.261296989076789e-05,-0.00013878452261965397,-0.0002097741247873745
54,-1.0039135457027653e-09,-1.7336659386854753e-06,-1.7334936899396962e-05,-5.2544177261032753e-05,-0.00010283599451716868,-0.00016580507884457203,-0.00024633691163626316,-0.00036902486953358936
55,-2.1219367300273304e-09,-3.29883532351777e-06,-3.163756959129501e-05,-9.384316642164157e-05,-0.00018117794432758822,-0.00028923033526634986,-0.0004261208975987648,-0.0006328079414369543
56,-4.3405174985918655e-09,-6.108176000570985e-06,-5.6258077217809304e-05,-0.00016339529859149058,-0.0003113012189545918,-0.0004921721407626672,-0.0007192114827460588,-0.0010590209589226305
57,-8.598593396600871e-09,-1.1017866026835254e-05,-9.757723304236857e-05,-0.00027766062976810224,-0.000522214410863125,-0.0008178866163174032,-0.0011857009348097854,-0.0017315153257847927
58,-1.6504659856213327e-08,-1.93804706331192e-05,-0.0001652509749194394,-0.0004609734828132308,-0.0008561643842761277,-0.0013286745185186193,-0.0019113221194816778,-0.0027687349858219706
59,-3.070379570990254e-08,-3.3275615481405265e-05,-0.00027352228173872995,-0.0007484204069481592,-0.0013731755423986643,-0.002112092743626306,-0.003015444485792421,-0.00433398303746479
60,-5.535661446778723e-08,-5.581700227128177e-05,-0.00044288269083280174,-0.001189373967367848,-0.0021565043329233695,-0.0032882926468185934,-0.004660377593663718,-0.006647166868835292
61,-9.668523978756365e-08,-9.154612917930977e-05,-0.0007021027832807401,-0.0018516762772623732,-0.0033189514622480464,-0.00501835918579359,-0.007061769223051906,-0.00999768131622819
62,-1.6344156876103863e-07,-0.00014691715576809516,-0.0010906194366697665,-0.002826397914249582,-0.005009868604228481,-0.007513383441509688,-0.010499707635696213,-0.01475786930261433
63,-2.669668094159948e-07,-0.0002308671204850917,-0.0016612230808937143,-0.004233010436239837,-0.007422569017280137,-0.011043838075500353,-0.015329940973622848,-0.02139626605528367
64,-4.201896233578924e-07,-0.0003554502430985756,-0.0024829305801238716,-0.006224707217930005,-0.01080170937918247,-0.01594865177785587,-0.021994426462561282,-0.03048960717216329
65,-6.343866262117466e-07,-0.0005364936347589017,-0.0036438602301116525,-0.00899349361002573,-0.01545006378454515,-0.022643209675071597,-0.03103023742894597,-0.04273238705201723
66,-9.117168390089366e-07,-0.0007942041283560818,-0.00525384801015913,-0.012774552019229269,-0.021733973712894598,-0.03162535983264196,-0.04307570894380015,-0.05894261848782198
67,-1.2303331861300115e-06,-0.0011536224642086392,-0.007446463815198021,-0.01784928124782045,-0.030086645384554415,-0.04347840057338172,-0.05887261527079829,-0.08006239112379655
68,-1.5171415196690468e-06,-0.001644782802174416,-0.010380009757517317,-0.024546324658797757,-0.04100839442558642,-0.05886997789510432,-0.07926316413975147,-0.10715187620345844
69,-1.6008768971971604e-06,-0.0023023944085635325,-0.014237017910319017,-0.03323985120925085,-0.05506292225682017,-0.07854585260454287,-0.10518067943137334,-0.14137559063477417
70,-1.1349454848833882e-06,-0.0031648211787057815,-0.019221720885388986,-0.04434434899965667,-0.07286876136072666,-0.10331761384608121,-0.1376330334759741,-0.1839800185313282
71,5.247111666605268e-07,-0.004272096987977577,-0.025554954092797157,-0.05830524233070133,-0.09508515530956074,-0.1340436238699151,-0.17767818261405213,-0.23626208598782808
72,4.506765678108147e-06,-0.0056626849119966825,-0.03346597108688679,-0.07558475638562512,-0.1223918460506515,-0.17160277477637156,-0.22639154531954958,-0.29952847686995215
73,1.2703191390798485e-05,-0.007368670645593916,-0.04318071877486354,-0.09664262998471565,-0.15546252064282698,-0.21686101003000943,-0.2848254221498146,-0.3750463357371397
74,2.8173722821188882e-05,-0.009409079468814918,-0.05490623037991268,-0.12191151251698526,-0.19493201073800623,-0.27063099241088556,-0.35396116398493294,-0.46398649252177987
75,5.5719215615067135e-05,-0.011781025883584186,-0.06881095041859904,-0.15176716678882204,-0.24135772252418375,-0.3336257598520711,-0.43465531618415326,-0.5673609209790712
76,0.0001026769365486267,-0.014448448698875255,-0.08500100329533918,-0.18649392065763873,-0.29517617927554035,-0.4064076707524698,-0.5275814646312577,-0.6859566662865534
77,0.00018000145013956928,-0.017328253675424638,-0.10349264735056785,-0.22624614818771843,-0.3566559562565453,-0.4893343681169483,-0.6331699479440712,-0.8202689056942735
78,0.00030370570916082575,-0.020273780983592633,-0.12418140775913178,-0.27100689397380473,-0.42584865026581603,-0.5825038550498957,-0.7515479439163468,-0.9704361046307709
79,0.0004967476298326132,-0.023055633903939575,-0.1468086401918832,-0.3205450592090053,-0.5025398262412544,-0.6857010437462125,-0.8824826587756059,-1.136180372663073
80,0.000791457126339645,-0.025340044639845637,-0.1709265264091337,-0.3743728225109086,-0.5862020969098082,-0.7983482929091429,-1.0253304244512054,-1.3167560935985227
81,0.0012326064589914462,-0.026665107117028203,-0.19586272605520322,-0.43170515226050865,-0.6759525994468357,-0.9194624688284941,-1.178994430980626,-1.5109096983423873
82,0.0018812318905142998,-0.026415367839193078,-0.22068608956038285,-0.4914233639969276,-0.7705171232527299,-1.0476209464438515,-1.3418935883423453,-1.7168530767157435
83,0.0028193160750070133,-0.023795425579454035,-0.24417496076728218,-0.5520446752747099,-0.8682030107311195,-1.1809387112906564,-1.5119446348977132,-1.9322526055526728
84,0.004155437362815778,-0.01780333947966218,-0.26478965319952225,-0.6116996065204661,-0.9668827019329931,-1.3170583431148963,-1.686559108424826,-2.154235134911658
85,0.0060314834076108095,-0.007204773410048049,-0.28065066318478105,-0.6681188715880915,-1.0639894354702333,-1.4531541771669654,-1.8626561985689543,-2.3794115592415315
86,0.0086305113690771,0.009491096888184988,-0.28952408323803525,-0.7186311041094628,-1.1565261704479994,-1.5859513763017168,-2.0366918403261742,-2.603917847166848
87,0.01218581509280517,0.03405282625842353,-0.28881550190315575,-0.760172389430458,-1.241088281074623,-1.711760037162721,-2.204703723983875,-2.823472654789699
88,0.0169912306759022,0.06854398729927019,-0.27557342802569523,-0.7893081357676773,-1.31390002457068,-1.8265238302807574,-2.3623712254127183,-3.0334499438525784
89,0.023412675886700002,0.11533542801164393,-0.24650296887359646,-0.8022673445807343,-1.3708642233497714,-1.9258820702685642,-2.5050886373541967,-3.2289644042662435
90,0.03190087647102612,0.17711150581980195,-0.19799013687917255,-0.794988853319803,-1.4076240633301318,-2.00524355958504,-2.628049538837035,-3.4049669703487107
91,0.043005184313448026,0.25686943240667004,-0.12613677594452144,-0.7631786483413616,-1.419635418853482,-2.059870074705733,-2.726339701531788,-3.556347343707089
92,0.05738833999291513,0.3579110370422106,-0.026805703662882707,-0.7023769053484619,-1.402247694578601,-2.0849669885221744,-2.7950356170605706,-3.6780402062205897
93,0.07584197711002996,0.4838264678369217,0.1043247206715947,-0.6080330301433678,-1.3507908446991235,-2.0757782625216215,-2.8293055484721052,-3.765131728446891
