S,p02,p03,p04,p05,p06,p07,p08,p09
33,-1.0130942420466043e-15,-1.1614986512346725e-15,2.2408251381953216e-15,2.1149787432342995e-14,7.42930195439824e-14,1.65428959030457e-13,3.06673314693943e-13,5.839230240048611e-13
34,-1.660931934254792e-15,-2.695082305842459e-15,2.3481804214873816e-14,1.3893095292748992e-13,3.8900384180380846e-13,8.086165578669547e-13,1.4714919764889806e-12,2.7183103810768373e-12
35,-1.4911893661278603e-15,-1.9267081921547452e-15,1.313543059531298e-13,6.651682592655453e-13,1.7669845414287044e-12,3.5652779967500655e-12,6.384128754185415e-12,1.160575737821613e-11
36,8.377994188808393e-16,2.0678093342732336e-14,5.951837710823484e-13,2.8378150631321337e-12,7.347724396431062e-12,1.4525495092290237e-11,2.562793933779083e-11,4.5893051286664966e-11
37,-2.5719343201508038e-15,1.0892214221983034e-13,2.449729736521057e-12,1.1188768420255608e-11,2.831786923221581e-11,5.503242331828911e-11,9.570420136585096e-11,1.688507764117813e-10
38,-1.2352273199648784e-15,4.492140411367226e-13,9.36172800141889e-12,4.120237256003022e-11,1.0189086179854031e-10,1.9478462309592305e-10,3.341095581943018e-10,5.811074194628084e-10
39,-1.983980516909014e-15,1.7328842655578634e-12,3.346399757387177e-11,1.4218173445943987e-10,3.4395200724310514e-10,6.471513177891129e-10,1.0952407095396402e-09,1.8786516997931673e-09
40,-4.4369378965467853e-16,6.254444335509037e-12,1.1251776880947009e-10,4.618794628692462e-10,1.0937862250692055e-09,2.026288989400687e-09,3.3848753414294756e-09,5.727862918674901e-09
41,-1.0746257532400086e-15,2.1201493360406216e-11,3.571431279175375e-10,1.4180192063003992e-09,3.288819146123341e-09,6.0012064034192965e-09,9.89812290472895e-09,1.6529806871740287e-08
42,7.330637544148955e-15,6.798701054428379e-11,1.0740119978628045e-09,4.127873301539046e-09,9.381478425516917e-09,1.686820484980823e-08,2.747818100207203e-08,4.530078150259312e-08
43,3.9406668980691266e-14,2.0679750576360028e-10,3.069764493148985e-09,1.1429961207207997e-08,2.5467159457210525e-08,4.513611813253285e-08,7.264006351323906e-08,1.1825726492653548e-07
44,1.4485538343672024e-13,5.98738696644581e-10,8.363527291621282e-09,3.019064259956586e-08,6.597798060734383e-08,1.1530125815364025e-07,1.833746343654793e-07,2.948836645061974e-07
45,4.870011975957035e-13,1.6545516295383055e-09,2.1778734486672028e-08,7.627173245564637e-08,1.635572050937068e-07,2.819246946342709e-07,4.4320771579140753e-07,7.042039280204964e-07
46,1.5226844509898378e-12,4.375165087173187e-09,5.433934271483427e-08,1.847491967753815e-07,3.8890952548432156e-07,6.614111877964262e-07,1.028075644735994e-06,1.6143977922251521e-06
47,4.5623533293551525e-12,1.1096722096658459e-08,1.3020676801587824e-07,4.300468840546168e-07,8.890262614840046e-07,1.4921841257992027e-06,2.29382903363531e-06,3.560824174225477e-06
48,1.302750052754551e-11,2.7054670920916042e-08,3.00274261775203e-07,9.64004851651708e-07,1.9578357214258297e-06,3.2440618922010007e-06,4.933033628697522e-06,7.5720347916555215e-06
