S,call,delta,gamma,Vega,theta,rho
1,-4.4673964757774636e-05,-5.696401602370629e-05,-1.5423827278034357e-05,-5.784843465727707e-07,0.0001281913492728621,-3.0725431188438576e-06
2,-0.00010798385080991903,-6.86570571716786e-05,-9.202019363375091e-06,-1.380530879026222e-06,0.0003011508523022982,-7.332810100362527e-06
3,-0.00018076942018261928,-7.651846821096764e-05,-6.802442082385653e-06,-2.2962068199270085e-06,0.0004962283649311353,-1.2196799553134111e-05
4,-0.000260442628966669,-8.260902812501358e-05,-5.489855620338484e-06,-3.2944640499790387e-06,0.000707188572025147,-1.7499561337768615e-05
5,-0.00034564369490310465,-8.765301310297013e-05,-4.6488128879187615e-06,-4.3589914775041434e-06,0.0009307829843246268,-2.315444395191348e-05
6,-0.0004355140057883226,-9.198910892998374e-05,-4.05820286067133e-06,-5.479491482405195e-06,0.0011649958504399843,-2.910673004431329e-05
7,-0.0005294548531601194,-9.581672478012337e-05,-3.6177793334875308e-06,-6.648783601589589e-06,0.0014084015420925966,-3.5318270893590006e-05
8,-0.0006270215373411548,-9.92596358839054e-05,-3.2750915998289165e-06,-7.861534937034405e-06,0.001659969882904233,-4.176073209027214e-05
9,-0.0007278688874290282,-0.00010239039434020714,-2.999860347109584e-06,-9.11360552400143e-06,0.0019188791831534213,-4.841212178320272e-05
10,-0.0008317201291289404,-0.00010527844871918712,-2.773315417375563e-06,-1.0401677606264662e-05,0.0021845061350111994,-5.525481072037388e-05
11,-0.0009383477023227458,-0.00010795136486108081,-2.5831542818394865e-06,-1.1723022879587923e-05,0.002456326472517062,-6.22743041704156e-05
12,-0.0010475607486485079,-0.0001104555574608923,-2.4209561503944765e-06,-1.3075351863517035e-05,0.0027338641333390923,-6.945843068458316e-05
13,-0.0011591965765894378,-0.00011280272506006273,-2.2807593162178785e-06,-1.4456714815059071e-05,0.0030167991802582117,-7.679683645738997e-05
14,-0.0012731146257261815,-0.00011502076418049012,-2.1581967116213185e-06,-1.586542400927593e-05,0.0033047326377169672,-8.428055434540198e-05
15,-0.0013891920693466246,-0.00011712127578542009,-2.0500289963851226e-06,-1.7300011162122916e-05,0.0035974796058768632,-9.190177803876722e-05
16,-0.00150732052958401,-0.00011912665949173618,-1.953750863349646e-06,-1.875917563214785e-05,0.003894716602177717,-9.96535980579867e-05
17,-0.0016274035707725197,-0.00012102916325390511,-1.8674344254114572e-06,-2.0241758414817762e-05,0.0041962658608313275,-0.00010752986195688637
18,-0.0017493547511810647,-0.00012286157334562287,-1.789549812589858e-06,-2.174672652458659e-05,0.004501876475770938,-0.00011552508200280211
19,-0.0018730960842866843,-0.00012459416094331988,-1.7188680426910574e-06,-2.3273141590979263e-05,0.0048114000197191364,-0.00012363427038869154
20,-0.0019985568062570597,-0.00012631202507551453,-1.654392070386812e-06,-2.4820158356971683e-05,0.005124675857282046,-0.00013185293228339806
21,-0.0021256723762940613,-0.00012794140746841265,-1.5953129052156956e-06,-2.6387002819306532e-05,0.005441608795508923,-0.00014017695994846674
22,-0.00225438365675292,-0.00012950209481166208,-1.5409522659617925e-06,-2.7972966204665994e-05,0.005762005629572631,-0.00014860256775106606
23,-0.0023846362339340686,-0.0001310046689184663,-1.4907381362325167e-06,-2.9577396224497038e-05,0.006085738250144468,-0.00015712630662724492
24,-0.0025163798502961954,-0.00013247933566135073,-1.4441878725887647e-06,-3.119968677292237e-05,0.0064126756422339115,-0.00016574499713244842
25,-0.0026495679258956477,-0.00013388944900688537,-1.4009021243391317e-06,-3.283928345833992e-05,0.00674273614373333,-0.0001744556047149001
26,-0.0027841571519994844,-0.00013528084902292292,-1.3605450273346253e-06,-3.449566634075585e-05,0.007075865544534099,-0.00018325545620909153
27,-0.0029201071436094055,-0.00013659446837510636,-1.3228050209021514e-06,-3.616835261410073e-05,0.007411952995806104,-0.00019214191106231568
28,-0.003057380140475943,-0.0001379339134230384,-1.2874331808965245e-06,-3.78568881039161e-05,0.007750993033170395,-0.00020111258901712306
29,-0.0031959407483375074,-0.00013917781857553102,-1.2542024059938872e-06,-3.9560851211681985e-05,0.008092662260802963,-0.00021016523773023652
30,-0.0033357557137617673,-0.00014042619064097428,-1.2229026949070465e-06,-4.1279835081859534e-05,0.008437111209333437,-0.00021929770894178743
31,-0.0034767937272479925,-0.00014163351481216724,-1.193365241694555e-06,-4.3013468791538306e-05,0.008784087563232235,-0.00022850811351622644
32,-0.003619025250232096,-0.00014278799496947325,-1.165481743232999e-06,-4.476141123987282e-05,0.009133860161270047,-0.00023779441929005354
33,-0.003762422362452724,-0.00014397098964391564,-1.1390549311054987e-06,-4.6523311101991094e-05,0.009486021213325757,-0.000247154958500119
34,-0.003906958626699867,-0.0001451025497672953,-1.1139849936600554e-06,-4.8298847395503164e-05,0.009840598735183503,-0.00025658804495183596
35,-0.004052608968531628,-0.000146179335996921,-1.0901555352882397e-06,-5.008772833992037e-05,0.010197507248344007,-0.00026609198850412186
36,-0.004199349568863574,-0.0001473026128157029,-1.0675220950273623e-06,-5.188966655227806e-05,0.010556880630091525,-0.0002756653194775638
37,-0.0043471577676377,-0.00014832904869643837,-1.0459230009862708e-06,-5.370433644232703e-05,0.010918488769356971,-0.00028530669025222943
38,-0.004496011976777693,-0.0001493738292779323,-1.02534039418678e-06,-5.5531383805554335e-05,0.01128231215050124,-0.00029501459283300113
39,-0.0046458916003523825,-0.00015043756171340128,-1.005676869905714e-06,-5.737023170328953e-05,0.011648407238773473,-0.0003047876716202186
40,-0.004796776958522049,-0.00015134586292542274,-9.868343208568886e-07,-5.921970785277564e-05,0.012016550948734661,-0.00031462456507279357
41,-0.00494864920854036,-0.00015242273589122224,-9.687403049879473e-07,-6.107708052857652e-05,0.01238679202611448,-0.00032452364263739486
42,-0.005101490248326753,-0.00015333190446498168,-9.512603205141801e-07,-6.293578469138139e-05,0.012759172364484872,-0.00033448277715272806
43,-0.005255282571459472,-0.00015427047660165893,-9.341128391626707e-07,-6.478022025486335e-05,0.013133534277481873,-0.00034449837921571297
44,-0.005410009008670927,-0.00015518710448636508,-9.168875294424117e-07,-6.657475191355205e-05,0.013509964588015455,-0.00035456314672471784
45,-0.005565652226012124,-0.00015611774026313974,-8.985343111916899e-07,-6.824119598829864e-05,0.013887901072207054,-0.000364662575136343
46,-0.00572219373099532,-0.00015699984715067394,-8.772202061968493e-07,-6.96148607422925e-05,0.014267601770173721,-0.00037476589752512274
47,-0.005879611930558524,-0.00015787991573812388,-8.493866894554447e-07,-7.036240515147923e-05,0.014648591888100082,-0.00038481005530492657
48,-0.006037878438131597,-0.0001586644010620475,-8.083870118441583e-07,-6.983443423362601e-05,0.015030029391210897,-0.00039466985135745697
49,-0.006196951273010428,-0.0001594482358646676,-7.423897434299942e-07,-6.681111109230892e-05,0.015411084994948476,-0.00040410351137380724
50,-0.006356762745751236,-0.00016014563807009718,-6.308754040007525e-07,-5.907922172310176e-05,0.01578891019662909,-0.0004126596453435382
51,-0.0065171985734452246,-0.000160660113684985,-4.3973932134511173e-07,-4.275416456631098e-05,0.016160417275201677,-0.00041952226701238987
52,-0.006678063003288203,-0.0001609822952025608,-1.1326254170662686e-07,-1.1229498819535777e-05,0.016518806374848927,-0.00042326022738764507
53,-0.006839022328040157,-0.00016088211492182314,4.361074088660155e-07,4.639612235200763e-05,0.016853841499492317,-0.0004214365041405737
54,-0.006999516059566739,-0.0001600017861258518,1.3426021232276764e-06,0.000147599431721962,0.017148657927706923,-0.00041001622977897273
55,-0.0071586211363331475,-0.00015794318977691013,2.8061991879518855e-06,0.00031963485489037297,0.017377964171838567,-0.0003824977692218345
56,-0.0073148498984039936,-0.00015408997862398355,5.11716171172627e-06,0.0006038927902749305,0.017502699983795722,-0.00032866952878914113
57,-0.007465857287061254,-0.0001473177916461177,8.686365437701737e-06,0.0010616504484989991,0.017467393330361514,-0.000232885030487448
58,-0.007608027054965225,-0.00013621898747873118,1.4080913431774311e-05,0.001781429922629793,0.017190559739588274,-7.173023390538713e-05
59,-0.007735901080060994,-0.00011836573388102067,2.2065832815457154e-05,0.0028881240746918627,0.01656039385483643,0.00018904687203689927
60,-0.007841410671113505,-9.082786606162685e-05,3.3648981552503177e-05,0.004553961116364469,0.01542413922278607,0.0005984724426970345
61,-0.007912864660742957,-4.93799445777654e-05,5.012899225928513e-05,0.007011250064406158,0.013578050836460243,0.0012252654762318071
62,-0.007933646810664392,1.1698975121987587e-05,7.31427180974964e-05,0.010566683863967238,0.010758324092696725,0.0021638245579873316
63,-0.007880575337127748,9.977522280602003e-05,0.00010470903534856579,0.01561678265376773,0.006629871478203153,0.0035413274448309324
64,-0.007721880891867003,0.00022483065756362386,0.0001472657460560578,0.022663847274121546,0.0007755853251301126,0.005525925981337761
65,-0.007414766671767777,0.00039892551068065885,0.00020369468346423392,0.032331578688877226,-0.007311367570400629,0.008335946852667392
66,-0.006902525843204999,0.0006378382197413934,0.0002773308578618572,0.045379324412186256,-0.018232275932061892,0.012249922924645327
67,-0.0061112072443767615,0.0009605520372157894,0.00037195248118494784,0.06271375696258359,-0.03268654331575749,0.01761718125157727
68,-0.004945840134008251,0.0013900881747769267,0.0004917466243925528,0.08539669518662849,-0.05146719135942779,0.02486862432159002
69,-0.0032862519961517323,0.0019539995489703532,0.000641249924340781,0.1146477646277698,-0.07545185067014959,0.03452724893942324
70,-0.0009825391455288506,0.0026841385342667168,0.0008252617245086899,0.15184067134212695,-0.10558676803978234,0.0472178701617365
71,0.002149723149567559,0.0036175681807776305,0.001048730527302734,0.19849204165563963,-0.14286240961926266,0.06367546318908693
72,0.00633441759988973,0.0047963284819513285,0.001316615463138257,0.2562420567582633,-0.18828286889663315,0.08475150811517763
73,0.011839830657129694,0.006267289898859163,0.0016337264010894692,0.32682647572911117,-0.24282483281068412,0.11141772480729657
74,0.018983447670275724,0.00808163935078765,0.0020045478429236985,0.41204007512072105,-0.307392494791614,0.14476662841336752
75,0.028136421972609023,0.010295621473421779,0.002433053512863881,0.5136920119819428,-0.3827643799136915,0.18600841028854756
76,0.03972753296002037,0.012968204288199559,0.002922518924364237,0.6335541112133594,-0.469537615038762,0.23646376472244432
77,0.05424644635180621,0.01616174659380132,0.0034753399295178733,0.7733035509536329,-0.5680697426346804,0.2975524188496975
78,0.07224609620413702,0.019940373657822974,0.004092866496552272,0.9344618424597662,-0.678419706523492,0.3707773000218017
79,0.09434402305332029,0.024369123385881153,0.0047752598564265725,1.1183323399324707,-0.8002937701423463,0.4577044413554831
80,0.12122252549318341,0.029512222526895115,0.005521378894507434,1.3259387466837274,-0.932995684876925,0.5599389384013109
81,0.1536275127593022,0.03543219745383297,0.006328704136027152,1.5579671909694837,-1.075386335536166,0.6790974234102686
82,0.19236598229856008,0.04218868587813063,0.00719330235321447,1.8147144155702954,-1.2258512899210317,0.8167777248116458
83,0.23830208729331467,0.049836240689771216,0.008109835347713812,2.0960444610730598,-1.3822880728930897,0.9745264925850593
