Time,a,b,rho,m,sig
0.0466,-15.731628444510058,5.836616454417703,-1.2085114273454105,-10.544249739492464,-9.499697390943743
0.128,-20.630075320853233,5.288370156789469,-1.1067638594666058,-11.689593416104161,-10.685570159652633
0.2094,-10.177447456248412,2.88677455690209,-1.3223785087530036,-11.739262601342055,-12.787440704110884
0.2908,-9.381593828414182,0.8077090791009881,-2.2188765992760904,-0.6723443272643179,-7.4412389877675995
0.3721,-8.58023131771821,0.8866180820487396,-2.0296646509418883,-1.695175136037892,-8.089479414696871
0.4535,-11.015279327853404,3.1945065198429328,-1.2089105547341452,-12.22030767951616,-11.713389503013305
0.5349,-11.959103312172099,3.2982200135927933,-1.1762784984399524,-11.848747798057198,-11.27015100476335
0.6163,-8.362429196852679,0.8362916586854361,-2.0690104396551425,-2.453553758137957,-9.979617351270413
0.6977,-8.459302727722351,0.7961943853936719,-2.1270718682014875,-2.3606651281272146,-10.40459902523559
0.7791,-12.289620121079933,3.2055840283932935,-1.1605616830707206,-11.881121416107066,-11.368990932335993
0.8605,-10.828300453278375,2.6870507576528064,-1.2215934161180275,-11.835006505235443,-12.31713738423333
0.9419,-9.081170675790869,0.6496225694439548,-2.0870082351048342,0.7458812307472804,-6.529379702221166
1.0233,-12.172323698812518,3.0305199090010624,-1.162727103464049,-11.767492093623083,-11.55248312661466
1.1047,-36.57087468192691,10.74944611198215,-0.8438957489379095,-8.238671866381635,-5.9269811071862035
1.1861,-9.040346578082627,0.632163652632956,-2.049243986255944,1.0193056702554089,-6.250033931170787
1.2675,-7.8999234370637605,0.8255045277464654,-1.9047711423697558,-2.2918472954213858,-9.234470418112604
1.3489,-8.873864158032596,0.6444165874009489,-1.9998242300462914,0.835472125416718,-6.358260568896698
1.4303,-8.852710181343975,0.6401460718359662,-1.9902877008912907,0.9075664004470259,-6.259237510310022
1.5116,-8.885787980748386,0.6351175570282172,-1.9970967820960048,0.9489568226917516,-6.299804794898508
1.593,-8.95193798177903,0.6257327184102227,-2.0151529680267735,1.0469713457337586,-6.309590469324232
1.6744,-8.955651570735627,0.6235099690247178,-2.0132516382995433,1.0753106789477302,-6.30061786593869
1.7558,-8.872547702388452,0.6312632052149856,-1.9910350389888434,0.9585813790153382,-6.36789075077865
1.8372,-8.84852725060225,0.6291247133810299,-1.9757274775511295,1.032950044672979,-6.229695318999327
1.9186,-8.884121603704019,0.6250360829199402,-1.987198103486498,1.0595090866517818,-6.2784920048978385
2.0,-8.908875720064955,0.6209483096557716,-1.9924615630011318,1.1094513467606242,-6.267426215326183
