S,p01,p02,p03,p04,p05,p06,p07,p08,p09
1,1.4361559071952377e-14,2.0722186844869827e-14,2.2257130422281405e-14,2.2984280121702235e-14,2.0722186844869827e-14,2.3795748612423873e-14,2.410250442599651e-14,2.440017224627256e-14,2.474816674420775e-14
2,-5.723227990503873e-14,-7.520982276090409e-14,-7.915190571521982e-14,-8.090670355087784e-14,-7.520982276090409e-14,-8.276918503537597e-14,-8.341527776665462e-14,-8.397931308021028e-14,-8.45377307530594e-14
3,1.7002040620252562e-13,1.5623174160067804e-13,1.4804428771118089e-13,1.4298735359687462e-13,1.5623174160067804e-13,1.3595870784281076e-13,1.326856224878704e-13,1.2880345391115163e-13,1.2292651543941962e-13
4,2.2569316525568628e-13,2.7372365753123553e-13,2.825436371629959e-13,2.859838100630362e-13,2.7372365753123553e-13,2.890718075532752e-13,2.8984875136972866e-13,2.9023524959907395e-13,2.898716115267537e-13
5,-2.570292520333809e-13,-3.591024057563748e-13,-3.830715401622088e-13,-3.943114953971241e-13,-3.591024057563748e-13,-4.066169794663148e-13,-4.1123354122143815e-13,-4.1553510942759213e-13,-4.2045717853133626e-13
6,-5.684494452867176e-13,-4.873884664451297e-13,-4.497505923660089e-13,-4.2731213146551245e-13,-4.873884664451297e-13,-3.973012188326969e-13,-3.836051401966037e-13,-3.6771346418116395e-13,-3.440829969743704e-13
7,-7.41964220167349e-13,-6.229658122734182e-13,-5.698100794558711e-13,-5.385878584512392e-13,-6.229658122734182e-13,-4.968475034163318e-13,-4.781299959118152e-13,-4.560918639142218e-13,-4.2394274805527847e-13
8,-8.948584544757538e-13,-1.0061626751722464e-12,-1.0175403706824746e-12,-1.019024335011701e-12,-1.0061626751722464e-12,-1.0163808463556289e-12,-1.0134168158242003e-12,-1.0081941478011346e-12,-9.978926811854838e-13
9,4.155785817586702e-13,1.112910995569189e-15,-1.3155303702400826e-13,-2.025625902532866e-13,1.112910995569189e-15,-2.9105649729643e-13,-3.2822868320311646e-13,-3.695607453722979e-13,-4.2689071909883936e-13
10,1.1401484337974094e-12,1.4258127586900747e-12,1.482803789838395e-12,1.506859003630374e-12,1.4258127586900747e-12,1.5300760871941337e-12,1.5371705308788361e-12,1.5429157027856117e-12,1.5456675222453432e-12
11,-1.8121968644640037e-12,-1.6957894577720179e-12,-1.6174690837119186e-12,-1.5675268973212922e-12,-1.6957894577720179e-12,-1.4980714613240032e-12,-1.4655238959892234e-12,-1.4263879062112842e-12,-1.3673356659163842e-12
